"PROGRAMME","NOM_COURT","APPLICATION","ANNEE","MOIS","STATUT","NB_EXECUTIONS","DUREE_MOY_MIN","DUREE_MAX_MIN","DUREE_MIN_MIN","DUREE_TOTALE_MIN"
"DKA : CrÃ©ation du fichier avis de virement","DKA_RAPVIR_PDF","DKA","2026","2026-03","Normal",98096,"0.11","0.27","0.07","11148.53"
"CrÃ©er une comptabilisation","XLAACCPB","XLA","2026","2026-03","Normal",77240,"0.70","39.43","0.07","54077.33"
"CrÃ©er une comptabilisation - Immobilisations","FAACCPB","OFA","2026","2026-03","Normal",68432,"0.12","1.33","0.05","8360.80"
"DKA : CrÃ©ation blocages comptabilisation factures AP","DKA_SAPCREATE_BLOCAGES","DKA","2026","2026-03","Normal",65296,"0.02","0.55","0.00","1495.33"
"EasyLink","GLLEZL","SQLGL","2026","2026-03","Normal",60080,"0.05","11.40","0.00","3100.53"
"Traitement du processeur enfant de validation de factures","WORKERAPPRVL","SQLAP","2026","2026-03","Normal",50728,"2.42","26.12","0.00","122580.80"
"Programme de comptabilisation","XLAACCUP","XLA","2026","2026-03","Normal",39312,"0.74","38.68","0.00","28900.67"
"Validation de factures","APPRVL","SQLAP","2026","2026-03","Normal",39056,"3.18","27.97","1.87","124058.13"
"RÃ¨glements/remises automatiques exÃ©cutÃ©s","ARZCARPO","AR","2026","2026-03","Normal",38680,"0.06","0.15","0.05","2482.27"
"PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","PACFATBP","PA","2026","2026-03","Normal",38248,"0.01","0.07","0.00","465.20"
"Mettre Ã  jour les soldes de comptabilitÃ© auxiliaire","XLABAPUB","XLA","2026","2026-03","Normal",37648,"0.01","0.22","0.00","244.93"
"Calculer les plus- et moins-values","FARET","OFA","2026","2026-03","Normal",37136,"0.01","0.08","0.00","327.47"
"GÃ©nÃ©rer des comptes","FAGDA","OFA","2026","2026-03","Normal",37136,"0.02","0.20","0.00","726.13"
"Programme de crÃ©ation de rÃ¨glements automatiques (API)","AR_AUTORECAPI","AR","2026","2026-03","Normal",36424,"0.55","1.17","0.50","19994.13"
"Programme d'importation de l'interface coopÃ©rative d'Oracle Payables","APXIIMPT","SQLAP","2026","2026-03","Normal",35984,"0.10","10.73","0.05","3775.20"
"Traitement de processeur du gestionnaire de donnÃ©es des soldes de comptes non soldÃ©s","XLATBDMW","XLA","2026","2026-03","Normal",35792,"0.01","0.13","0.00","209.07"
