Numero de fournisseur|Nom adresse|ID iValua du site fournisseur|UO
S00092560|FRA77410|92426|DRW0001
14230|FRA40990DAX|92414|DNA0001
85118|FRA95943|29482|DRW0577
3907|FRA92230|23716|DNA0397
16687|FRA51430|17816|DNA0514
88344|FRA56600|103076|DSW0001
56514|FRA75017D|128458|DMS0001
105004|FRA59650|18511|DEW0001
S00055589|FRA13015|55592|DEW0001
80307|FRA57690|18463|DOS0739
16687|FRA51430|17816|DCW0450
24953|FRA45140|53330|DOS0119
6427|FRA10600|13686|DCW0001
35964|FRA31800 CEDEO |15656|DNA0001
6714|FRA92000|23795|DCW0001
24468|FRA14123|112894|DSW0001
101453|FRA57070|28783|DNA0001
18843|FRA01440|104640|DMS0001
86575|FRA31600|102586|DSW0001
20798|FRA13015|122291|DEW0001
56514|FRA62750|47687|DSW0001
59412|FRA94623|24298|DRW0001
4515|FRA93200|24118|DRW0001
31978|FRA69570|20549|DEW0001
100344|FRA69490|29442|DNA0790
48006|FRA27340|15090|DOS0119
35631|FRA73000|21168|DMS0441
1207|FRA13011|14232|DEW0001
28787|FRA93300|23976|DSW0001
28787|FRA93300|23976|DMS0441
7062|FRA94380|24183|DRW0001
16556|FRA54500|18104|DCW0001
5677|FRA30900|15354|DEW0148
24468|FRA65000BAU|96980|DNA0001
25557|FRA78260|77235|DRW0001
2651|FRA94380|24185|DRW0001
3907|FRA92230|23716|DMS0001
20798|FRA14120|24575|DSW0001
100463|FRA77590|22190|DCW0001
20505|FRA06560HA|31833|DEW0001
6714|FRA92000|23795|DLS0001
110560|FRA34830|13354|DEW0001
S00066147|FRA91300|82264|DCW0348
24468|FRA33500PIECES|115733|DNA0001
17945|FRA76520|21955|DSW0001
S00064602|FRA66000|65043|DEW0001
83165|FRA69100|20712|DMS0001
25784|FRA59800|18809|DOS0001
3104|FRA92500|56932|DEW0001
16687|FRA51430|17816|DLS0001
20798|FRA69400|91933|DMS0001
S00084780|FRA69680|84742|DMS0001
23406|FRA69530|130153|DMS0001
49394|FRA71850|21026|DMS0363
56514|FRA33700|11989|DNA0001
3907|FRA92230|23716|DCW0348
S00099774|FRA62200|99554|DSW0001
25805|FRA33290|15735|DNA0001
S00071004|FRA91090|73637|DRW0631
S00065678|FRA63600|65641|DMS0441
60464|FRA69800|20835|DMS0001
4926|FRA35515|58579|DLS0001
28787|FRA93300|23976|DRW0001
52012|FRA95310|24541|DRW0551
16687|FRA51430|17816|DNA0691
24953|FRA91380|53316|DRW0001
2098|FRA78140|106718|DNA0001
16687|FRA51430|17816|DCW0001
13246|FRA92110|90697|DRW0001
20798|FRA35135|16231|DLS0001
14604|FRA25460|112944|DNA0001
16687|FRA51430|17816|DRW0326
78751|FRA68390|20460|DEW0001
35631|FRA26000|14973|DMS0001
29269|BEL2220|35675|DMS0001
3907|FRA92230|23716|DEW0800
24953|FRA51100|17772|DCW0001
6553|FRA93420|120702|DMS0001
7135|FRA73290|21180|DMS0001
13609|FRA69009|87829|DLS0245
39293|FRA62670|19739|DSW0523
S00122054|FRA54136|121682|DCW0001
35631|FRA74700|21270|DMS0441
25171|FRA34070|62899|DEW0001
4515|FRA59710|124040|DSW0001
28787|FRA93300|23976|DEW0390
S00093120|FRA69340|93731|DSW0523
108390|FRA83700|22831|DEW0001
4390|FRA21000|14673|DMS0001
24245|FRA14650|14345|DSW0001
6703|FRA69800SAI|98887|DMS0363
S00072896|FRA77230|72876|DRW0531
S00064602|FRA86000|65134|DNA0001
35964|FRA45500 CEDEO |109573|DOS0119
87739|FRA33300|129102|DNA0001
24468|FRA37390|16483|DOS0119
36005|FRA34500|79052|DLS0001
56514|FRA57070|18335|DCW0001
S00064602|FRA51100CGED|65105|DCW0306
S00066147|FRA91300|82264|DEW0001
24468|FRA37390|16483|DLS0001
20798|FRA77500|22193|DRW0326
25784|FRA69006|20918|DMS0363
102178|FRA31770|15441|DNA0001
20631|FRA25303|27396|DMS0001
36300|FRA69153|20757|DOS0119
68296|FRA34650|16098|DEW0001
20798|FRA10600|92647|DCW0001
S00064602|FRA92120|115211|DRW0001
102012|FRA80480|22653|DSW0001
27473|FRA13015|14284|DEW0001
48006|FRA27340|15090|DSW0001
16920|FRA59100|52998|DSW0001
24953|FRA06700|48499|DEW0001
24419|FRA59590|31631|DSW0001
105004|FRA59650|18511|DSW0001
39521|FRA59128|18708|DSW0001
4515|FRA54180|44981|DCW0322
S00080405|FRA59100|80407|DSW0001
18607|FRA38120|30776|DMS0441
57473|FRA69003|20909|DMS0001
S00057872|FRA77700|57873|DRW0001
20798|FRA86000|23093|DNA0001
16920|FRA59320|12231|DSW0001
19985|FRA59180|18587|DMS0441
89812|FRA59850|115416|DSW0001
103799|FRA69570DAR|97948|DMS0001
105004|FRA59650|18511|DRW0001
35964|FRA26200 CEDEO |112558|DOS0119
56514|FRA44800A|122947|DLS0001
16687|FRA51430|17816|DEW0001
35631|FRA13110|14089|DEW0001
20347|FRA57070|18348|DCW0630
S00086308|FRA69200|85724|DRW0001
7135|FRA73290|21180|DEW0800
