Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;401050;0688;GL0541468E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;622,33;EUR;18/08/2026;0688K2608AXFQ;;;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;5,12400;STANDARD;2,10;EUR;18/08/2026;0688K2608AXFQ;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;0,00001;STANDARD;62,01;EUR;18/08/2026;0688K2608AXFQ;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;5,12400;STANDARD;65,54;EUR;18/08/2026;0688K2608AXFQ;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;5,12400;STANDARD;83,98;EUR;18/08/2026;0688K2608AXFQ;20,00;TICGN GAZ;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;0,00001;STANDARD;94,38;EUR;18/08/2026;0688K2608AXFQ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0541468E;GAZ;VENTE DE GAZ;5,12400;STANDARD;210,60;EUR;18/08/2026;0688K2608AXFQ;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000002C
26/08/2026;0001;445660;0688;GL0541468E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;103,72;EUR;18/08/2026;0688K2608AXFQ;20,00;;;;18/08/2026;;;B00000002C
26/08/2026;0001;401050;0688;GL0382109P;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;93,60;EUR;18/08/2026;0688K2608AWVS;;;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382109P;GAZ;VENTE DE GAZ;0,00001;STANDARD;25,67;EUR;18/08/2026;0688K2608AWVS;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382109P;GAZ;VENTE DE GAZ;0,00001;STANDARD;52,33;EUR;18/08/2026;0688K2608AWVS;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000007H
26/08/2026;0001;445660;0688;GL0382109P;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;15,6;EUR;18/08/2026;0688K2608AWVS;20,00;;;;18/08/2026;;;B00000007H
26/08/2026;0001;401050;0688;GL0382122E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;122,29;EUR;18/08/2026;0688K2608AWVR;;;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,73300;STANDARD;0,30;EUR;18/08/2026;0688K2608AWVR;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,73300;STANDARD;9,37;EUR;18/08/2026;0688K2608AWVR;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,73300;STANDARD;12,02;EUR;18/08/2026;0688K2608AWVR;20,00;TICGN GAZ;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,00001;STANDARD;13,22;EUR;18/08/2026;0688K2608AWVR;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,73300;STANDARD;30,13;EUR;18/08/2026;0688K2608AWVR;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0382122E;GAZ;VENTE DE GAZ;0,00001;STANDARD;36,87;EUR;18/08/2026;0688K2608AWVR;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000007H
26/08/2026;0001;445660;0688;GL0382122E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;20,38;EUR;18/08/2026;0688K2608AWVR;20,00;;;;18/08/2026;;;B00000007H
26/08/2026;0001;401050;0688;GL0039832N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;62,57;EUR;18/08/2026;0688K2608AXJW;;;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0039832N;GAZ;VENTE DE GAZ;0,00001;STANDARD;20,17;EUR;18/08/2026;0688K2608AXJW;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0039832N;GAZ;VENTE DE GAZ;0,00001;STANDARD;31,97;EUR;18/08/2026;0688K2608AXJW;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0039832N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;10,43;EUR;18/08/2026;0688K2608AXJW;20,00;;;;18/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1424369B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;66,25;EUR;18/08/2026;0688K2608AXCT;;;;;18/08/2026;;;B00000008J
