Folio;Ecart;Début de période;Fin de période
Tous;Oui;01/07/2026;22/09/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
BIO;22/09/2026;61;3163944,76;3163944,76;0;0;0;61;3163944,76;3163944,76;;FAC02_SRC_FACTURESFOURNISSEURS_220926-012110_ST_FAC02_639256368703434929_001;non;
CEC;21/09/2026;11;1112468,28;1112468,28;0;0;0;11;1112468,28;1112468,28;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;non;
CEE;21/09/2026;357;226746,99;226746,99;0;0;0;357;226746,99;226746,99;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;non;
CEG;21/09/2026;31;584999,6;584999,6;0;0;0;31;584999,6;584999,6;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;non;
CYC;22/09/2026;618;11113570,7;11113570,7;0;0;0;618;11113570,7;11113570,7;;HEF01_SRC_FACTURESCLIENTS_220926-011037_ST_HEF01_639256362378120869_001;non;
CYF;22/09/2026;21;9150722,84;9150722,84;0;0;0;21;9150722,84;9150722,84;;HEF01_SRC_FACTURESFOURNISSEURS_220926-011055_ST_HEF01_639256362550560156_001;non;
FAS;22/09/2026;9;38755075,11;38755075,11;0;0;0;9;38755075,11;38755075,11;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
FGE;22/09/2026;8;3799,42;3799,42;0;0;0;8;3799,42;3799,42;;FAC02_SRC_ECRITURESGL_220926-012213;non;
GAZ;22/09/2026;827;254909,06;254909,06;0;0;0;827;254909,06;254909,06;;FAC02_SRC_FACTURESFOURNISSEURS_220926-012110_ST_FAC02_639256368703434929_001;non;
GCA;22/09/2026;1230;4891899;4891899;0;0;0;1230;4891899;4891899;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
GCA;07/08/2026;536;2657762,9;2657762,9;528;2640045,24;2640045,24;8;17717,66;17717,66;au 21/09 : encore 6 factures dans l'interface : 0139R26082155, 0139R26082156, 0139R26082157, 0139R26082158, 0139R26082159, 0139R26082160;FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001;non;11149
GER;22/09/2026;47;32302,7;32302,7;0;0;0;47;32302,7;32302,7;;FAC02_SRC_ECRITURESGL_220926-012213;non;
GGI;06/07/2026;0;0;0;259;0;0;-259;0;0;cf. KDFI-3749;CDPG.NC4.EXPORT.2026070614320866847.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
GGI;01/07/2026;0;0;0;1;0;0;-1;0;0;cf. KDFI-3749;CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
HAC;22/09/2026;14;43243,6;43243,6;0;0;0;14;43243,6;43243,6;;FAC02_SRC_FACTURESFOURNISSEURS_220926-012110_ST_FAC02_639256368703434929_001;non;
HAF;21/09/2026;82;162831,13;162831,13;0;0;0;82;162831,13;162831,13;;PRN01_SRC_FACTURESFOURNISSEURS_20260921_210442;non;
HAF;21/09/2026;19;179299,57;179299,57;0;0;0;19;179299,57;179299,57;;PRN01_SRC_FACTURESFOURNISSEURS_20260921_205905;non;
IGP;22/09/2026;45;468657,79;468657,79;0;0;0;45;468657,79;468657,79;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
IGP;21/09/2026;205;5480430,2;5480430,2;204;5480430,2;5480430,2;1;0;0;;FAC02_SRC_FACTURESCLIENTS_190926-005653_ST_FAC02_639253762137093692_001;non;
ING;22/09/2026;40;39193862,43;39193862,43;0;0;0;40;39193862,43;39193862,43;;FAC02_SRC_FACTURESFOURNISSEURS_220926-012110_ST_FAC02_639256368703434929_001;non;
ING;03/07/2026;326;3748960,62;3748960,62;325;3669141,8;3669141,8;1;79818,82;79818,82;1 facture 0001R2607SRY8 en erreur format, flux 06297d30-75ec-11f1-9034-005056850e47En attente décision MOAING	0001R2607SRY8	01/07/2026	79818,82			ABSENTE;FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001;non;
NOT;21/09/2026;383;75558,63;75558,63;383;75091,63;75558,63;0;467;0;;NOT01_SRC_FACTURESFOURNISSEURS_20260919000503;non;
NOT;21/09/2026;152;3729,76;3729,76;0;0;0;152;3729,76;3729,76;;NOT01_SRC_FACTURESFOURNISSEURS_20260921232707;non;
NOT;20/09/2026;5;98,6;98,6;0;0;0;5;98,6;98,6;;NOT01_SRC_FACTURESFOURNISSEURS_20260920231637;non;
RNE;22/09/2026;5;31848,47;31848,47;0;0;0;5;31848,47;31848,47;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
SVB;22/09/2026;62;3348815,07;3348815,07;0;0;0;62;3348815,07;3348815,07;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
SVD;22/09/2026;898;274496,98;274496,98;0;0;0;898;274496,98;274496,98;;FAC02_SRC_FACTURESCLIENTS_220926-010555_ST_FAC02_639256359557488818_001;non;
VFF;21/09/2026;5;714;714;3;214;214;2;500;500;;VHC03_SRC_FACTURESFOURNISSEURS_210926_141731;non;
VFF;21/09/2026;5;92230,91;92230,91;0;0;0;5;92230,91;92230,91;;VHC03_SRC_FACTURESFOURNISSEURS_210926_231235;non;
VFF;18/09/2026;100;7048948,25;7048948,25;97;6855636,26;6855636,26;3;193311,99;193311,99;;VHC03_SRC_FACTURESFOURNISSEURS_180926_160419;non;
VFF;18/09/2026;100;8413252,53;8413252,53;96;8155312,34;8155312,34;4;257940,19;257940,19;;VHC03_SRC_FACTURESFOURNISSEURS_180926_162811;non;
