Folio;Ecart;Début de période;Fin de période
Tous;Oui;23/04/2026;23/07/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
BIO;21/07/2026;1;-21774,47;-21774,47;2;-43548,94;-43548,94;-1;21774,47;21774,47;;FAC02_SRC_FACTURESFOURNISSEURS_210726-011006_ST_FAC02_639201930060338021_001;non;
CYC;23/07/2026;443;10573911;10573911;0;0;0;443;10573911;10573911;;HEF01_SRC_FACTURESCLIENTS_230726-011016_ST_HEF01_639203658165485536_001;non;
CYC;15/07/2026;422;1723074,26;1723074,26;418;1620451,61;1620451,61;4;102622,65;102622,65;;HEF01_SRC_FACTURESCLIENTS_140726-010945_ST_HEF01_639195881859709103_001;non;
CYC;14/07/2026;422;1723074,26;1723074,26;4;102622,65;102622,65;418;1620451,61;1620451,61;;HEF01_SRC_FACTURESCLIENTS_140726-010945_ST_HEF01_639195881859709103_001;non;
CYF;23/07/2026;41;7888799,29;7888799,29;0;0;0;41;7888799,29;7888799,29;;HEF01_SRC_FACTURESFOURNISSEURS_230726-011042_ST_HEF01_639203658420487961_001;non;
CYF;21/07/2026;0;0;0;3;697293,6;697293,6;-3;-697293,6;-697293,6;;HEF01_SRC_FACTURESFOURNISSEURS_180726-011017_ST_HEF01_639199338171890182_001;non;
CYF;20/07/2026;25;1123145,19;1123145,19;22;425851,59;425851,59;3;697293,6;697293,6;;HEF01_SRC_FACTURESFOURNISSEURS_180726-011017_ST_HEF01_639199338171890182_001;non;
FAS;23/07/2026;3;9059822,08;9059822,08;0;0;0;3;9059822,08;9059822,08;;FAC02_SRC_FACTURESCLIENTS_230726-005846_ST_FAC02_639203651262547897_001;non;
FAS;17/07/2026;5071;1061202,9;1061202,9;5070;1019202,9;1019202,9;1;42000;42000;;FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001;non;
FAS;13/07/2026;23;-9837,66;-9837,66;20;-7602,89;-7602,89;3;-2234,77;-2234,77;;FAC02_SRC_FACTURESCLIENTS_100726-011026_ST_FAC02_639192426267212556_001;non;
FGE;23/07/2026;6;8648,74;8648,74;0;0;0;6;8648,74;8648,74;;FAC02_SRC_ECRITURESGL_230726-011429;non;
