"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"01/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_010726-010649_ST_FAC02_639184648091081654_001";"2";"3497,61";"3497,61";"0";"0";"0";"2";"3497,61";"3497,61";"3497,61";"3497,61";"3497,61";"0";"0";"2";"3497,61";"KO"
"CEC";"FOURNISSEURS";"30/06/2026";"CEL01_SRC_FACTURESFOURNISSEURS_300626-200458_ST_CEL01_639184466982671030_001";"12";"-23074,77";"-23074,77";"0";"0";"0";"12";"-23074,77";"-23074,77";"-23074,77";"-23074,77";"-24065,65";"0";"0";"12";"-23074,77";"KO"
"CEE";"FOURNISSEURS";"30/06/2026";"CEL01_SRC_FACTURESFOURNISSEURS_300626-200458_ST_CEL01_639184466982671030_001";"81";"18843,52";"18843,52";"0";"0";"0";"81";"18843,52";"18843,52";"18843,52";"18843,52";"18519,15";"0";"0";"81";"18843,52";"KO"
"CEG";"FOURNISSEURS";"30/06/2026";"CEL01_SRC_FACTURESFOURNISSEURS_300626-200458_ST_CEL01_639184466982671030_001";"69";"145448,67";"145448,67";"0";"0";"0";"69";"145448,67";"145448,67";"145448,67";"145448,67";"152655,18";"0";"0";"69";"145448,67";"KO"
"CMB";"GL";"26/06/2026";"PRN01_SRC_ECRITURESGL_20260626-084744";"1532";"21104562,41";"21104562,41";"1532";"21104562,48";"21104562,48";"0";"-0,07";"-0,07";"21104562,41";"-0,07";"10552281,24";"766";"10552281,24";"766";"10552281,17";"KO"
"CYC";"CLIENTS";"01/07/2026";"HEF01_SRC_FACTURESCLIENTS_010726-011002_ST_HEF01_639184650021108836_001";"376";"3172162,09";"3172162,09";"0";"0";"0";"376";"3172162,09";"3172162,09";"3172162,09";"3172162,09";"3172162,09";"0";"0";"376";"3172162,09";"KO"
"CYC";"CLIENTS";"30/06/2026";"HEF01_SRC_FACTURESCLIENTS_300626-010932_ST_HEF01_639183785720902444_001";"379";"2934232,63";"2934232,63";"379";"3317516,29";"3317516,29";"0";"-383283,66";"-383283,66";"2934232,63";"-383283,66";"2934232,63";"0";"0";"379";"2934232,63";"KO"
"CYC";"CLIENTS";"29/06/2026";"HEF01_SRC_FACTURESCLIENTS_270626-010926_ST_HEF01_639181193668240670_001";"372";"2513869,88";"2513869,88";"372";"3626456,54";"3626456,54";"0";"-1112586,66";"-1112586,66";"2513869,88";"-1112586,66";"2812165,51";"2";"-298295,63";"370";"2812165,51";"KO"
"CYF";"FOURNISSEURS";"01/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_010726-011017_ST_HEF01_639184650176825394_001";"8";"307992,59";"307992,59";"0";"0";"0";"8";"307992,59";"307992,59";"307992,59";"307992,59";"307992,59";"0";"0";"8";"307992,59";"KO"
"FAS";"CLIENTS";"29/05/2026";"FAC02_SRC_FACTURESCLIENTS_290526-014312_ST_FAC02_639156157927905840_001";"4437";"1057628,86";"1057628,86";"4437";"2481120,64";"2481120,64";"0";"-1423491,78";"-1423491,78";"1057628,86";"-1423491,78";"0";"4436";"1055335,52";"1";"2293,34";"KO"
