"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Nb Pieces Interface OA";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Commentaire";"Statut Verification"
"BIO";"FOURNISSEURS";"12/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_120926-014833_ST_FAC02_639247745136275876_001";"8";"2042468,1";"2042468,1";"0";"0";"0";"8";"2042468,1";"2042468,1";"2042468,1";"2042468,1";"8";"2042468,1";"0";"0";"8";"2042468,1";"";"KO"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"0";"0";"0";"1";"78,71";"78,71";"-1";"-78,71";"-78,71";"121115,84";"0,00";"31";"102307,97";"36";"121115,84";"-36";"-121115,84";"";"KO"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"0";"0";"0";"3";"1651,47";"1651,47";"-3";"-1651,47";"-1651,47";"1235907,16";"0,00";"30";"1235907,16";"30";"1235907,16";"-30";"-1235907,16";"";"KO"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"30";"1235907,16";"1235907,16";"27";"1234255,69";"1234255,69";"3";"1651,47";"1651,47";"1235907,16";"0,00";"30";"1235907,16";"30";"1235907,16";"0";"0,00";"";"OK"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_100926-203333_ST_CEL01_639246692135042860_001";"54";"41777,26";"41777,26";"52";"38538,43";"38538,43";"2";"3238,83";"3238,83";"41777,26";"3238,83";"54";"41777,26";"51";"85850,14";"3";"-44072,88";"";"KO"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_110926-200625_ST_CEL01_639247539858958557_001";"12";"136939,79";"136939,79";"0";"0";"0";"12";"136939,79";"136939,79";"136939,79";"136939,79";"12";"136939,79";"0";"0";"12";"136939,79";"";"KO"
"CEC";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"36";"121115,84";"121115,84";"35";"121037,13";"121037,13";"1";"78,71";"78,71";"121115,84";"0,00";"31";"102307,97";"36";"121115,84";"0";"0,00";"1 pièce dans la GDR : n° 1070396872";"OK"
"CEE";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_100926-203333_ST_CEL01_639246692135042860_001";"622";"3680000,67";"3680000,67";"618";"3615061,25";"3615061,25";"4";"64939,42";"64939,42";"3680000,67";"64939,42";"622";"3680000,67";"618";"3615061,25";"4";"64939,42";"";"KO"
"CEE";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_110926-200625_ST_CEL01_639247539858958557_001";"151";"223544,35";"223544,35";"0";"0";"0";"151";"223544,35";"223544,35";"223544,35";"223544,35";"151";"223544,35";"0";"0";"151";"223544,35";"";"KO"
"CEG";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_110926-200625_ST_CEL01_639247539858958557_001";"50";"243612,99";"243612,99";"0";"0";"0";"50";"243612,99";"243612,99";"243612,99";"243612,99";"50";"243612,99";"0";"0";"50";"243612,99";"";"KO"
"CMB";"GL";"27/08/2026";"PRN01_SRC_ECRITURESGL_20260827-094831";"1482";"20380128,76";"20380128,76";"1482";"20380128,8";"20380128,8";"0";"-0,04";"-0,04";"20380128,76";"-0,04";"0";"0";"1482";"20380128,8";"0";"-0,04";"";"KO"
"CYC";"CLIENTS";"12/09/2026";"HEF01_SRC_FACTURESCLIENTS_120926-011019_ST_HEF01_639247722195385390_001";"524";"5905303,37";"5905303,37";"0";"0";"0";"524";"5905303,37";"5905303,37";"5905303,37";"5905303,37";"524";"5905303,37";"0";"0";"524";"5905303,37";"";"KO"
"CYF";"FOURNISSEURS";"12/09/2026";"HEF01_SRC_FACTURESFOURNISSEURS_120926-011038_ST_HEF01_639247722380579572_001";"36";"336089,27";"336089,27";"0";"0";"0";"36";"336089,27";"336089,27";"336089,27";"336089,27";"36";"336089,27";"0";"0";"36";"336089,27";"";"KO"
"FAS";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"32";"6070487,98";"6070487,98";"0";"0";"0";"32";"6070487,98";"6070487,98";"6070487,98";"6070487,98";"32";"6070487,98";"0";"0";"32";"6070487,98";"";"KO"
"FAS";"CLIENTS";"07/09/2026";"FAC02_SRC_FACTURESCLIENTS_050926-005040_ST_FAC02_639241662407941086_001";"2";"-3781";"-3781";"1";"6849,8";"6849,8";"1";"-10630,8";"-10630,8";"-3781";"-10630,8";"0";"0";"1";"6849,8";"1";"-10630,8";"";"KO"
"FGE";"GL";"12/09/2026";"FAC02_SRC_ECRITURESGL_120926-015029";"2";"269,05";"269,05";"0";"0";"0";"2";"269,05";"269,05";"269,05";"269,05";"8";"269,05";"0";"0";"2";"269,05";"";"KO"
"GAZ";"FOURNISSEURS";"12/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_120926-014833_ST_FAC02_639247745136275876_001";"360";"138878,04";"138878,04";"0";"0";"0";"360";"138878,04";"138878,04";"138878,04";"138878,04";"360";"138878,04";"0";"0";"360";"138878,04";"";"KO"
"GAZ";"FOURNISSEURS";"11/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_110926-012740_ST_FAC02_639246868603251289_001";"331";"1325530,12";"1325530,12";"330";"1283169,29";"1283169,29";"1";"42360,83";"42360,83";"1325530,12";"42360,83";"330";"1283169,29";"330";"1283169,29";"1";"42360,83";"";"KO"
"GCA";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"1719";"7797364,32";"7797364,32";"0";"0";"0";"1719";"7797364,32";"7797364,32";"7797364,32";"7797364,32";"1719";"7797364,32";"0";"0";"1719";"7797364,32";"";"KO"
"GCA";"CLIENTS";"02/09/2026";"FAC02_SRC_FACTURESCLIENTS_020926-021204_ST_FAC02_639239119244496039_001";"18132";"94161781,85";"94161781,85";"18132";"97156683,33";"97156683,33";"0";"-2994901,48";"-2994901,48";"94161781,85";"-2994901,48";"0";"0";"18132";"94161781,85";"0";"0,00";"";"OK"
"GCA";"CLIENTS";"07/08/2026";"FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001";"536";"2657762,9";"2657762,9";"528";"2640045,24";"2640045,24";"8";"17717,66";"17717,66";"2657762,9";"17717,66";"6";"17493,96";"530";"2640268,94";"6";"17493,96";"au 11/09 : plus que 6 factures dans l'interface : 0139R26082155, 0139R26082156, 0139R26082157, 0139R26082158, 0139R26082159, 0139R26082160";"KO"
"GER";"GL";"12/09/2026";"FAC02_SRC_ECRITURESGL_120926-015029";"57";"30977,25";"30977,25";"0";"0";"0";"57";"30977,25";"30977,25";"30977,25";"30977,25";"118";"30882,25";"0";"0";"57";"30977,25";"";"KO"
"GGI";"GL";"06/07/2026";"CDPG.NC4.EXPORT.2026070614320866847.COMP.E_COMP_DALKIA.E_COMPTA_1";"0";"0";"0";"259";"0";"0";"-259";"0";"0";"0";"0";"0";"0";"261";"0";"-261";"0";"cf. KDFI-3749";"KO"
"GGI";"GL";"01/07/2026";"CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1";"0";"0";"0";"1";"0";"0";"-1";"0";"0";"0";"0";"0";"0";"1";"0";"-1";"0";"cf. KDFI-3749";"KO"
"HAC";"FOURNISSEURS";"12/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_120926-014833_ST_FAC02_639247745136275876_001";"12";"60042,94";"60042,94";"0";"0";"0";"12";"60042,94";"60042,94";"60042,94";"60042,94";"12";"60042,94";"0";"0";"12";"60042,94";"";"KO"
"HAF";"FOURNISSEURS";"11/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260911_210354";"79";"188214,94";"188214,94";"0";"0";"0";"79";"188214,94";"188214,94";"188214,94";"188214,94";"79";"188214,94";"0";"0";"79";"188214,94";"";"KO"
"HAF";"FOURNISSEURS";"11/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260908_205741";"0";"0";"0";"6";"104862,84";"104862,84";"-6";"-104862,84";"-104862,84";"725180,24";"362590,12";"39";"361862,74";"39";"362590,12";"-39";"-362590,12";"";"KO"
"HAF";"FOURNISSEURS";"11/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260909_205754";"57";"526142,55";"526142,55";"53";"506509,91";"506509,91";"4";"19632,64";"19632,64";"1052285,10";"526142,55";"57";"525865,83";"57";"526142,55";"0";"0,00";"";"OK"
"HAF";"FOURNISSEURS";"11/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260908_205741";"39";"362590,12";"362590,12";"23";"103149,62";"103149,62";"16";"259440,5";"259440,5";"725180,24";"362590,12";"39";"361862,74";"39";"362590,12";"0";"0,00";"";"OK"
"HAF";"FOURNISSEURS";"11/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260911_205810";"24";"556491,32";"556491,32";"0";"0";"0";"24";"556491,32";"556491,32";"556491,32";"556491,32";"24";"556491,32";"0";"0";"24";"556491,32";"";"KO"
"HAF";"FOURNISSEURS";"10/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260908_205741";"39";"362590,12";"362590,12";"10";"154577,66";"154577,66";"29";"208012,46";"208012,46";"725180,24";"362590,12";"39";"361862,74";"39";"362590,12";"0";"0,00";"";"OK"
"HAF";"FOURNISSEURS";"10/09/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260909_205754";"57";"526142,55";"526142,55";"4";"19632,64";"19632,64";"53";"506509,91";"506509,91";"1052285,10";"526142,55";"57";"525865,83";"57";"526142,55";"0";"0,00";"";"OK"
"IGP";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"31";"838789,96";"838789,96";"0";"0";"0";"31";"838789,96";"838789,96";"838789,96";"838789,96";"31";"838789,96";"0";"0";"31";"838789,96";"";"KO"
"ING";"FOURNISSEURS";"12/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_120926-014833_ST_FAC02_639247745136275876_001";"13";"6187320,98";"6187320,98";"0";"0";"0";"13";"6187320,98";"6187320,98";"6187320,98";"6187320,98";"13";"6187320,98";"0";"0";"13";"6187320,98";"";"KO"
"ING";"FOURNISSEURS";"11/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_280826-005259_ST_FAC02_639234751794511760_001";"0";"0";"0";"2";"1791,6";"1791,6";"-2";"-1791,6";"-1791,6";"2192019,25";"0,0";"501";"2126618,98";"509";"2192019,25";"-509";"-2192019,25";"";"KO"
"ING";"FOURNISSEURS";"28/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_280826-005259_ST_FAC02_639234751794511760_001";"509";"2192019,25";"2192019,25";"507";"2190227,65";"2190227,65";"2";"1791,6";"1791,6";"2192019,25";"0,0";"501";"2126618,98";"509";"2192019,25";"0";"0,00";"";"OK"
"ING";"FOURNISSEURS";"03/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"326";"3748960,62";"3748960,62";"325";"3669141,8";"3669141,8";"1";"79818,82";"79818,82";"3748960,62";"79818,82";"325";"3669141,8";"325";"3669141,8";"1";"79818,82";"1 facture 0001R2607SRY8 en erreur format, flux 06297d30-75ec-11f1-9034-005056850e47Folio	Numero Piece	Date Piece	Montant Fichier	Montant OracleING	0001R2607SRY8	01/07/2026	79818,82			ABSENTE";"KO"
"NOT";"FOURNISSEURS";"13/09/2026";"NOT01_SRC_FACTURESFOURNISSEURS_20260913231732";"13";"318,67";"318,67";"0";"0";"0";"13";"318,67";"318,67";"318,67";"318,67";"13";"318,67";"0";"0";"13";"318,67";"";"KO"
"NOT";"FOURNISSEURS";"12/09/2026";"NOT01_SRC_FACTURESFOURNISSEURS_20260912231723";"6";"158,55";"158,55";"0";"0";"0";"6";"158,55";"158,55";"158,55";"158,55";"6";"158,55";"0";"0";"6";"158,55";"";"KO"
"NOT";"FOURNISSEURS";"11/09/2026";"NOT01_SRC_FACTURESFOURNISSEURS_20260911235129";"291";"43689,81";"43689,81";"0";"0";"0";"291";"43689,81";"43689,81";"43689,81";"43689,81";"291";"43689,81";"0";"0";"291";"43689,81";"";"KO"
"NOT";"FOURNISSEURS";"10/09/2026";"NOT01_SRC_FACTURESFOURNISSEURS_20260910002946";"472";"112051,01";"112051,01";"0";"0";"0";"472";"112051,01";"112051,01";"112051,01";"112051,01";"470";"111957,5";"470";"111957,5";"2";"93,51";"";"KO"
"RNE";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"3";"5265,83";"5265,83";"0";"0";"0";"3";"5265,83";"5265,83";"5265,83";"5265,83";"3";"5265,83";"0";"0";"3";"5265,83";"";"KO"
"SVB";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"8";"2042468,1";"2042468,1";"0";"0";"0";"8";"2042468,1";"2042468,1";"2042468,1";"2042468,1";"8";"2042468,1";"0";"0";"8";"2042468,1";"";"KO"
"SVD";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"384";"142665,36";"142665,36";"0";"0";"0";"384";"142665,36";"142665,36";"142665,36";"142665,36";"384";"142665,36";"0";"0";"384";"142665,36";"";"KO"
"VFF";"FOURNISSEURS";"10/08/2026";"VHC03_SRC_FACTURESFOURNISSEURS_070826_144348";"35";"1234169,75";"1234169,75";"34";"1234089,47";"1234089,46";"1";"80,28";"80,29";"1234169,75";"80,28";"34";"1234089,52";"33";"1233953,39";"2";"216,36";"Facture X6U00192 dans la GDR - 34 factures dans Oracle dont 1 rejet dans l'interface (J6400056)";"KO"
"VFF";"FOURNISSEURS";"07/08/2026";"VHC03_SRC_FACTURESFOURNISSEURS_070826_152413";"7";"18235,12";"18235,12";"0";"0";"0";"7";"18235,12";"18235,12";"18235,12";"18235,12";"7";"18234,7";"4";"12302,39";"3";"5932,73";"1 PROCESSED et 6 REJECTED dans ap_invoices_interface.A voir pourquoi on n'a pas le retour d'Oracle dans Contrôle des fluxAu 04/09 : 3 factures en rejet : 1767001167, 1767001881, 1778460846";"KO"
"VTC";"CLIENTS";"12/09/2026";"FAC02_SRC_FACTURESCLIENTS_120926-014041_ST_FAC02_639247740412657691_001";"18";"87336,19";"87336,19";"0";"0";"0";"18";"87336,19";"87336,19";"87336,19";"87336,19";"18";"87336,19";"0";"0";"18";"87336,19";"";"KO"
