Folio	Type	Date	Nom fichier transmis
BIO	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
CEC	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEC	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001
CEC	FOURNISSEURS	11/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEC	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEE	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEE	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEG	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEG	FOURNISSEURS	20/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_190826-200514_ST_CEL01_639227667146764677_001
CEG	FOURNISSEURS	11/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEG	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CYC	CLIENTS	07/08/2026	HEF01_SRC_FACTURESCLIENTS_070826-011057_ST_HEF01_639216618570470716_001
CYC	CLIENTS	04/08/2026	HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001
FAS	CLIENTS	31/07/2026	FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001
GAZ	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
GCA	CLIENTS	18/08/2026	FAC02_SRC_FACTURESCLIENTS_180826-004821_ST_FAC02_639226109017635143_001
GCA	CLIENTS	07/08/2026	FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001
GCA	CLIENTS	04/08/2026	FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001
GER	GL	21/08/2026	FAC02_SRC_ECRITURESGL_210826-010814
GER	GL	13/08/2026	FAC02_SRC_ECRITURESGL_130826-010025
GER	GL	04/07/2026	FAC02_SRC_ECRITURESGL_040726-011149
HAF	FOURNISSEURS	21/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260821_210234
HAF	FOURNISSEURS	21/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260821_205556
HAF	FOURNISSEURS	18/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260812_205432
HAF	FOURNISSEURS	13/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260812_205432
HAF	FOURNISSEURS	11/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356
IGP	CLIENTS	03/08/2026	FAC02_SRC_FACTURESCLIENTS_010826-005747_ST_FAC02_639211426673639666_001
ING	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
ING	FOURNISSEURS	03/07/2026	FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001
NOT	FOURNISSEURS	21/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260821233810
NOT	FOURNISSEURS	20/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260820001153
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0001_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0348_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0414_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0245_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0373_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0577_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0001_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0441_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0452_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0119_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0514_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0476_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0630_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0470_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0149_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0185_PRE_20260820_20260831
PRE	GL	20/08/2026	GXP01_SRC_ECRITURESGL_0800_PRE_20260820_20260831
THO	GL	28/07/2026	VCH01_SRC_ECRITURESGL_270726-160000
VFF	FOURNISSEURS	19/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_100826_114541
