Folio;Ecart;Début de période;Fin de période
Tous;Oui;06/01/2026;05/08/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
BIO;23/07/2026;0;0;0;22;37694,28;37694,28;-22;-37694,28;-37694,28;;FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;non;
BIO;23/07/2026;22;37694,28;37694,28;0;0;0;22;37694,28;37694,28;CTL non reçu - FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;non;
CEC;05/08/2026;4;8551,37;8551,37;0;0;0;4;8551,37;8551,37;;CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001;non;
CEE;05/08/2026;79;276196,2;276196,2;0;0;0;79;276196,2;276196,2;;CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001;non;
CEG;05/08/2026;280;641406,06;641406,06;0;0;0;280;641406,06;641406,06;;CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001;non;
CEL;05/08/2026;-1;-3132,81;-3132,81;0;0;0;-1;-3132,81;-3132,81;;CEL01_PIVOT_GL_ECRITURESGL_20260729-170423;non;
CEL;29/07/2026;3476;131867367,81;131867367,81;3475;131864235;131864235;1;3132,81;3132,81;1 pièce dans la GDR - 02907000803;CEL01_SRC_ECRITURESGL_290726-170113;non;
CYC;04/08/2026;432;2389384,07;2389384,07;432;2960807,53;2960807,53;0;-571423,46;-571423,46;;HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001;non;
FAS;31/07/2026;9;11040000;11040000;1;11040000;11040000;8;0;0;;FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001;non;
GAZ;23/07/2026;0;0;0;468;694600,31;694600,31;-468;-694600,31;-694600,31;;FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;non;
GAZ;23/07/2026;468;694600,31;694600,31;0;0;0;468;694600,31;694600,31;CTL non reçu - FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;non;
GCA;04/08/2026;10775;47884707,51;47884707,51;10775;49508321,73;49508321,73;0;-1623614,22;-1623614,22;;FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001;non;
GCA;03/07/2026;3049;10724557,01;10724557,01;3048;10724557,01;10724557,01;1;0;0;;FAC02_SRC_FACTURESCLIENTS_030726-005913_ST_FAC02_639186371537075584_001;non;
GER;04/07/2026;36;11971,96;11971,96;0;0;0;36;11971,96;11971,96;;FAC02_SRC_ECRITURESGL_040726-011149;non;
GGI;06/07/2026;0;0;0;259;0;0;-259;0;0;;CDPG.NC4.EXPORT.2026070614320866847.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
GGI;01/07/2026;0;0;0;1;0;0;-1;0;0;cf. KDFI-3749;CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
GGI;16/06/2026;0;0;0;1;0;0;-1;0;0;cf. KDFI-3749;CDPG.NC4.EXPORT.2026061114321158794.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
GGI;04/05/2026;0;0;0;258;0;0;-258;0;0;cf KDFI-3749;CDPG.NC4.EXPORT.2026050409253302485.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
HAC;23/07/2026;0;0;0;7;97450,54;97450,54;-7;-97450,54;-97450,54;;FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001;non;
