Folio;Ecart;Début de période;Fin de période
Tous;Oui;27/06/2026;27/08/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
BIO;26/08/2026;4;23048,46;23048,46;3;60785,23;60785,23;1;-37736,77;-37736,77;;FAC02_SRC_FACTURESFOURNISSEURS_260826-010723_ST_FAC02_639233032431247529_001;non;
BIO;26/08/2026;5;196693,05;196693,05;10;393386,1;393386,1;-5;-196693,05;-196693,05;;FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001;non;
BIO;25/08/2026;52;1361178,85;1361178,85;51;1235823,26;1235823,26;1;125355,59;125355,59;;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;non;
CEC;26/08/2026;6;261388,6;261388,6;0;0;0;6;261388,6;261388,6;;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;non;
CEE;26/08/2026;78;280462,16;280462,16;0;0;0;78;280462,16;280462,16;;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;non;
CEG;26/08/2026;23;22550,27;22550,27;0;0;0;23;22550,27;22550,27;;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;non;
CEG;10/08/2026;0;0;0;32;66394,6;66394,6;-32;-66394,6;-66394,6;;CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001;non;
CYC;07/08/2026;394;3067497,68;3067497,68;0;0;0;394;3067497,68;3067497,68;;HEF01_SRC_FACTURESCLIENTS_070826-011057_ST_HEF01_639216618570470716_001;non;
CYC;04/08/2026;432;2389384,07;2389384,07;432;2960807,53;2960807,53;0;-571423,46;-571423,46;;HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001;non;
FAS;27/08/2026;2;32695,3;32695,3;0;0;0;2;32695,3;32695,3;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
FAS;31/07/2026;9;11040000;11040000;1;11040000;11040000;8;0;0;FAS	GX1655063D	411100	20260730FAS	GX1655072N	411100	20260730FAS	GX1655075S	411100	20260730FAS	GX1655078W	411100	20260730FAS	GX1655079X	411100	20260730FAS	GX1655101X	411100	20260730FAS	GX1655105B	411100	20260730FAS	GX1651088L	411100	20260730Avec montant 0;FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001;non;
FGE;27/08/2026;2;1972,07;1972,07;0;0;0;2;1972,07;1972,07;;FAC02_SRC_ECRITURESGL_270826-033312;non;
GAZ;26/08/2026;1177;283654,87;283654,87;2354;567309,74;567309,74;-1177;-283654,87;-283654,87;;FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001;non;
GCA;27/08/2026;1571;8549566,9;8549566,9;0;0;0;1571;8549566,9;8549566,9;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
GCA;18/08/2026;536;6384010,83;6384010,83;535;6384010,83;6384010,83;1;0;0;;FAC02_SRC_FACTURESCLIENTS_180826-004821_ST_FAC02_639226109017635143_001;non;
GCA;07/08/2026;536;2657762,9;2657762,9;0;0;0;536;2657762,9;2657762,9;;FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001;non;
GCA;04/08/2026;10775;47884707,51;47884707,51;10775;49508321,73;49508321,73;0;-1623614,22;-1623614,22;;FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001;non;
GER;27/08/2026;23;4780,21;4780,21;0;0;0;23;4780,21;4780,21;;FAC02_SRC_ECRITURESGL_270826-033312;non;
