DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
28/07/2026;0001;401050;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;1134,01;EUR;02/07/2026;0804O2607RRA3;;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;602210;0804;GL1105327D;HAC;VENTE DE COMB STOCKABLE;1220,00000;STANDARD;945,01;EUR;02/07/2026;0804O2607RRA3;20,00;DEBOURS P1 GAZ;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;445660;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;189;EUR;02/07/2026;0804O2607RRA3;20,00;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;401050;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;1490,02;EUR;02/07/2026;0804O2607RRA4;;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;602210;0804;GL1105327D;HAC;VENTE DE COMB STOCKABLE;1603,00000;STANDARD;1241,68;EUR;02/07/2026;0804O2607RRA4;20,00;DEBOURS P1 GAZ;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;445660;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;248,34;EUR;02/07/2026;0804O2607RRA4;20,00;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;401050;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;1479,35;EUR;02/07/2026;0804O2607RRA5;;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;602210;0804;GL1105327D;HAC;VENTE DE COMB STOCKABLE;1536,00000;STANDARD;1232,79;EUR;02/07/2026;0804O2607RRA5;20,00;DEBOURS P1 GAZ;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;445660;0804;GL1105327D;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;246,56;EUR;02/07/2026;0804O2607RRA5;20,00;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;401050;0804;GL1105328E;HAC;Facture intragroupe CID 0804;0,00001;STANDARD;1591,42;EUR;02/07/2026;0804O2607RRB0;;;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
28/07/2026;0001;602210;0804;GL1105328E;HAC;VENTE DE COMB STOCKABLE;1709,00000;STANDARD;1326,18;EUR;02/07/2026;0804O2607RRB0;20,00;DEBOURS P1 GAZ;;;02/07/2026;;;B00000004E;FAC02_SRC_FACTURESFOURNISSEURS_030726-010035_ST_FAC02_639186372355081160_001;CID
