DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
26/08/2026;0001;401050;0688;GL0007049K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;3762,95;EUR;31/07/2026;0688K2608ZWD6;;;;;31/07/2026;;;B00000008J;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0007049K;GAZ;VENTE DE GAZ;0,00001;STANDARD;594,78;EUR;31/07/2026;0688K2608ZWD6;20,00;DEBOURS P1 GAZ STOCKAGE;;;31/07/2026;;;B00000008J;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0007049K;GAZ;VENTE DE GAZ;0,00001;STANDARD;2541,01;EUR;31/07/2026;0688K2608ZWD6;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;31/07/2026;;;B00000008J;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;445660;0688;GL0007049K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;627,16;EUR;31/07/2026;0688K2608ZWD6;20,00;;;;31/07/2026;;;B00000008J;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;401050;0688;GL0046060R;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;23,21;EUR;31/07/2026;0688K2608ZWF7;;;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0046060R;GAZ;VENTE DE GAZ;0,00001;STANDARD;19,34;EUR;31/07/2026;0688K2608ZWF7;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;445660;0688;GL0046060R;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;3,87;EUR;31/07/2026;0688K2608ZWF7;20,00;;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;401050;0688;GL0063304L;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;332,14;EUR;31/07/2026;0688K2608ZWF6;;;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0063304L;GAZ;VENTE DE GAZ;2,00100;STANDARD;0,82;EUR;31/07/2026;0688K2608ZWF6;20,00;GAZ - MECANISME CPB;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0063304L;GAZ;VENTE DE GAZ;2,00100;STANDARD;24,17;EUR;31/07/2026;0688K2608ZWF6;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
26/08/2026;0001;602210;0688;GL0063304L;GAZ;VENTE DE GAZ;0,00001;STANDARD;27,79;EUR;31/07/2026;0688K2608ZWF6;20,00;DEBOURS P1 GAZ STOCKAGE;;;31/07/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_010826-011220_ST_FAC02_639211435409480120_001;CID
