DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
26/08/2026;0001;401050;0688;GL0059557D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;449,06;EUR;06/08/2026;0688K2608ABYJ;;;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;602210;0688;GL0059557D;GAZ;VENTE DE GAZ;0,00001;STANDARD;90,60;EUR;06/08/2026;0688K2608ABYJ;20,00;DEBOURS P1 GAZ STOCKAGE;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;602210;0688;GL0059557D;GAZ;VENTE DE GAZ;0,00001;STANDARD;283,62;EUR;06/08/2026;0688K2608ABYJ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;445660;0688;GL0059557D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;74,84;EUR;06/08/2026;0688K2608ABYJ;20,00;;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;401050;0688;GL0059560G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;129,12;EUR;06/08/2026;0688K2608ABYR;;;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;602210;0688;GL0059560G;GAZ;VENTE DE GAZ;0,00001;STANDARD;46,83;EUR;06/08/2026;0688K2608ABYR;20,00;DEBOURS P1 GAZ STOCKAGE;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;602210;0688;GL0059560G;GAZ;VENTE DE GAZ;0,00001;STANDARD;60,77;EUR;06/08/2026;0688K2608ABYR;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;445660;0688;GL0059560G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;21,52;EUR;06/08/2026;0688K2608ABYR;20,00;;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;401050;0688;GL0059567P;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;118,02;EUR;06/08/2026;0688K2608ABYU;;;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
26/08/2026;0001;602210;0688;GL0059567P;GAZ;VENTE DE GAZ;0,00001;STANDARD;41,86;EUR;06/08/2026;0688K2608ABYU;20,00;DEBOURS P1 GAZ STOCKAGE;;;06/08/2026;;;B00000006G;FAC02_SRC_FACTURESFOURNISSEURS_070826-020308_ST_FAC02_639216649884010589_001;CID
