Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013257 062026;0;STANDARD;1752,18;EUR;08/06/2026;FC26-013257;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001576R;VFF;Facture sd services FC26-013257 062026;1;STANDARD;1460,15;EUR;08/06/2026;FC26-013257;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013257 062026;0;STANDARD;292,03;EUR;08/06/2026;FC26-013257;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013258 062026;0;STANDARD;219,64;EUR;08/06/2026;FC26-013258;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001457F;VFF;Facture sd services FC26-013258 062026;1;STANDARD;219,64;EUR;08/06/2026;FC26-013258;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013285 062026;0;STANDARD;427,20;EUR;08/06/2026;FC26-013285;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0642934G;VFF;Facture sd services FC26-013285 062026;1;STANDARD;356,00;EUR;08/06/2026;FC26-013285;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013285 062026;0;STANDARD;71,20;EUR;08/06/2026;FC26-013285;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013937 062026;0;STANDARD;1289,66;EUR;15/06/2026;FC26-013937;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001290R;VFF;Facture sd services FC26-013937 062026;1;STANDARD;1074,72;EUR;15/06/2026;FC26-013937;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013937 062026;0;STANDARD;214,94;EUR;15/06/2026;FC26-013937;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013177 062026;0;STANDARD;339,53;EUR;08/06/2026;FC26-013177;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0064964Y;VFF;Facture sd services FC26-013177 062026;1;STANDARD;282,94;EUR;08/06/2026;FC26-013177;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-013177 062026;0;STANDARD;56,59;EUR;08/06/2026;FC26-013177;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
