Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053142 062026;0;STANDARD;2275,92;EUR;29/06/2026;10008-053142;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK0008400W;VFF;Facture MOBILIZE 10008-053142 062026;3;STANDARD;2275,92;EUR;29/06/2026;10008-053142;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053147 062026;0;STANDARD;2275,92;EUR;29/06/2026;10008-053147;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK1163782E;VFF;Facture MOBILIZE 10008-053147 062026;3;STANDARD;2275,92;EUR;29/06/2026;10008-053147;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053146 062026;0;STANDARD;2275,92;EUR;29/06/2026;10008-053146;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK0008400W;VFF;Facture MOBILIZE 10008-053146 062026;3;STANDARD;2275,92;EUR;29/06/2026;10008-053146;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053145 062026;0;STANDARD;2275,92;EUR;29/06/2026;10008-053145;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK0006520J;VFF;Facture MOBILIZE 10008-053145 062026;3;STANDARD;2275,92;EUR;29/06/2026;10008-053145;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053144 062026;0;STANDARD;12184,79;EUR;29/06/2026;10008-053144;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK0001011Z;VFF;Facture MOBILIZE 10008-053144 062026;5;STANDARD;12184,79;EUR;29/06/2026;10008-053144;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;401100;104488-FRA78700;GK0028795X;VFF;Facture MOBILIZE 10008-053143 062026;0;STANDARD;2275,92;EUR;29/06/2026;10008-053143;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
25/08/2026;0001;613512;104488-FRA78700;GK0001065K;VFF;Facture MOBILIZE 10008-053143 062026;3;STANDARD;2275,92;EUR;29/06/2026;10008-053143;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B
