DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2077 062026;0;STANDARD;94,09;EUR;22/06/2026;F-2026-06-2077;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0008384C;VFF;Facture EVO GROUPE F-2026-06-2077 062026;1;STANDARD;78,41;EUR;22/06/2026;F-2026-06-2077;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2077 062026;0;STANDARD;15,68;EUR;22/06/2026;F-2026-06-2077;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2076 062026;0;STANDARD;94,09;EUR;22/06/2026;F-2026-06-2076;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0063776Y;VFF;Facture EVO GROUPE F-2026-06-2076 062026;1;STANDARD;78,41;EUR;22/06/2026;F-2026-06-2076;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2076 062026;0;STANDARD;15,68;EUR;22/06/2026;F-2026-06-2076;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2078 062026;0;STANDARD;94,09;EUR;22/06/2026;F-2026-06-2078;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0008384C;VFF;Facture EVO GROUPE F-2026-06-2078 062026;1;STANDARD;78,41;EUR;22/06/2026;F-2026-06-2078;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-06-2078 062026;0;STANDARD;15,68;EUR;22/06/2026;F-2026-06-2078;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-07-2138 072026;0;STANDARD;318,00;EUR;01/07/2026;F-2026-07-2138;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_153126;DACAR
