DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
25/08/2026;0001;401100;S00062841-FRA92200;GK0028795X;VFF;Facture Easypark 1767001167 072026;0;STANDARD;5175,00;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009539P;VFF;Facture Easypark 1767001167 072026;60;STANDARD;237,39;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1364917S;VFF;Facture Easypark 1767001167 072026;102;STANDARD;243,84;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009550C;VFF;Facture Easypark 1767001167 072026;443;STANDARD;1299,49;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009548A;VFF;Facture Easypark 1767001167 072026;59;STANDARD;165,61;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009542T;VFF;Facture Easypark 1767001167 072026;172;STANDARD;684,90;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1645565K;VFF;Facture Easypark 1767001167 072026;38;STANDARD;127,93;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009541S;VFF;Facture Easypark 1767001167 072026;200;STANDARD;1210,39;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0868278E;VFF;Facture Easypark 1767001167 072026;33;STANDARD;108,59;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009543V;VFF;Facture Easypark 1767001167 072026;39;STANDARD;210,70;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009546Y;VFF;Facture Easypark 1767001167 072026;98;STANDARD;370,34;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0042392Y;VFF;Facture Easypark 1767001167 072026;2;STANDARD;4,64;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0231888J;VFF;Facture Easypark 1767001167 072026;27;STANDARD;102,71;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009893S;VFF;Facture Easypark 1767001167 072026;5;STANDARD;17,65;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1376098Y;VFF;Facture Easypark 1767001167 072026;9;STANDARD;48,48;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1528245S;VFF;Facture Easypark 1767001167 072026;2;STANDARD;7,99;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1642409Z;VFF;Facture Easypark 1767001167 072026;2;STANDARD;7,99;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009545X;VFF;Facture Easypark 1767001167 072026;4;STANDARD;17,74;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1376095V;VFF;Facture Easypark 1767001167 072026;3;STANDARD;8,49;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0042393Z;VFF;Facture Easypark 1767001167 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001167;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1376086J;VFF;Facture Easypark 1767001167 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001167;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1364926C;VFF;Facture Easypark 1767001167 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001167;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0232191D;VFF;Facture Easypark 1767001167 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001167;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK1645676L;VFF;Facture Easypark 1767001167 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001167;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;445661;S00062841-FRA92200;GK0028795X;VFF;Facture Easypark 1767001167 072026;0;STANDARD;270,18;EUR;03/07/2026;1767001167;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;401100;S00062841-FRA92200;GK0028795X;VFF;Facture Easypark 1767001881 072026;0;STANDARD;722,55;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009553F;VFF;Facture Easypark 1767001881 072026;11;STANDARD;49,58;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009763V;VFF;Facture Easypark 1767001881 072026;104;STANDARD;222,33;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009698W;VFF;Facture Easypark 1767001881 072026;40;STANDARD;116,34;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0009802N;VFF;Facture Easypark 1767001881 072026;70;STANDARD;266,65;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0007138L;VFF;Facture Easypark 1767001881 072026;4;STANDARD;11,69;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0231891M;VFF;Facture Easypark 1767001881 072026;2;STANDARD;8,45;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0578020R;VFF;Facture Easypark 1767001881 072026;1;STANDARD;5,99;EUR;03/07/2026;1767001881;20,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;445661;S00062841-FRA92200;GK0028795X;VFF;Facture Easypark 1767001881 072026;0;STANDARD;41,52;EUR;03/07/2026;1767001881;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;401100;S00062841-FRA92200;GK0028795X;VFF;Facture Easypark 1767080985 072026;0;STANDARD;9932,61;EUR;03/07/2026;1767080985;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0734817V;VFF;Facture Easypark 1767080985 072026;288;STANDARD;2922,76;EUR;03/07/2026;1767080985;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
25/08/2026;0001;625610;S00062841-FRA92200;GK0001047P;VFF;Facture Easypark 1767080985 072026;58;STANDARD;195,72;EUR;03/07/2026;1767080985;0,00;FRAIS DE MISSIONS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;DACAR
