Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387562 032026;0;STANDARD;404,18;EUR;31/03/2026;0216387562;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;33102-FRA69838;GK0503168G;VFF;Facture Euromaster 0216387562 032026;3;STANDARD;336,82;EUR;31/03/2026;0216387562;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387562 032026;0;STANDARD;67,36;EUR;31/03/2026;0216387562;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387568 032026;0;STANDARD;449,50;EUR;31/03/2026;0216387568;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;33102-FRA69838;GK0868278E;VFF;Facture Euromaster 0216387568 032026;4;STANDARD;374,58;EUR;31/03/2026;0216387568;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387568 032026;0;STANDARD;74,92;EUR;31/03/2026;0216387568;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387574 032026;0;STANDARD;817,49;EUR;31/03/2026;0216387574;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;33102-FRA69838;GK0001386A;VFF;Facture Euromaster 0216387574 032026;5;STANDARD;681,24;EUR;31/03/2026;0216387574;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387574 032026;0;STANDARD;136,25;EUR;31/03/2026;0216387574;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387580 032026;0;STANDARD;357,54;EUR;31/03/2026;0216387580;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;33102-FRA69838;GK1177752E;VFF;Facture Euromaster 0216387580 032026;4;STANDARD;357,54;EUR;31/03/2026;0216387580;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;33102-FRA69838;GK0028795X;VFF;Facture Euromaster 0216387583 032026;0;STANDARD;39,05;EUR;31/03/2026;0216387583;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
