DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38639665 032026;0;STANDARD;755,74;EUR;27/03/2026;38639665;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0008364E;VFF;Facture Carglass 38639665 032026;1;STANDARD;629,78;EUR;27/03/2026;38639665;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38639665 032026;0;STANDARD;125,96;EUR;27/03/2026;38639665;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38639840 032026;0;STANDARD;90,00;EUR;27/03/2026;38639840;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0001597P;VFF;Facture Carglass 38639840 032026;1;STANDARD;90,00;EUR;27/03/2026;38639840;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38640646 032026;0;STANDARD;1096,15;EUR;27/03/2026;38640646;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0008839V;VFF;Facture Carglass 38640646 032026;1;STANDARD;913,46;EUR;27/03/2026;38640646;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38640646 032026;0;STANDARD;182,69;EUR;27/03/2026;38640646;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38640845 032026;0;STANDARD;974,65;EUR;27/03/2026;38640845;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0001253Z;VFF;Facture Carglass 38640845 032026;1;STANDARD;812,21;EUR;27/03/2026;38640845;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38640845 032026;0;STANDARD;162,44;EUR;27/03/2026;38640845;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38643897 032026;0;STANDARD;890,05;EUR;27/03/2026;38643897;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0009898Y;VFF;Facture Carglass 38643897 032026;1;STANDARD;741,71;EUR;27/03/2026;38643897;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38643897 032026;0;STANDARD;148,34;EUR;27/03/2026;38643897;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38652314 032026;0;STANDARD;778,67;EUR;30/03/2026;38652314;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
25/08/2026;0001;615510;16209-FRA92411;GK0806453Z;VFF;Facture Carglass 38652314 032026;1;STANDARD;648,89;EUR;30/03/2026;38652314;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_093741;DACAR
