DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
25/08/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 2601205762 042026;0;STANDARD;117,00;EUR;28/04/2026;2601205762;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0001573M;VFF;Facture Kuantic 2601205762 042026;16;STANDARD;104,00;EUR;28/04/2026;2601205762;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0505998Y;VFF;Facture Kuantic 2601205762 042026;2;STANDARD;13,00;EUR;28/04/2026;2601205762;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 2601205763 042026;0;STANDARD;110,50;EUR;28/04/2026;2601205763;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0001573M;VFF;Facture Kuantic 2601205763 042026;16;STANDARD;104,00;EUR;28/04/2026;2601205763;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0505998Y;VFF;Facture Kuantic 2601205763 042026;1;STANDARD;6,50;EUR;28/04/2026;2601205763;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 2601208118 052026;0;STANDARD;42417,18;EUR;29/05/2026;2601208118;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0585659X;VFF;Facture Kuantic 2601208118 052026;27;STANDARD;166,31;EUR;29/05/2026;2601208118;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK0001682L;VFF;Facture Kuantic 2601208118 052026;13;STANDARD;78,65;EUR;29/05/2026;2601208118;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
25/08/2026;0001;622840;S00115562-ITA10135;GK1346822E;VFF;Facture Kuantic 2601208118 052026;31;STANDARD;191,32;EUR;29/05/2026;2601208118;0,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;DACAR
