Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;67955-FRA92150;GK0028795X;VFF;Facture MASTERNAUT FR1181216 052025;0;STANDARD;808,73;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001495Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK1007835S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0010061H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0813632G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0813649B;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001242L;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0813656J;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001257D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001275Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001193F;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0585659X;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0646050Y;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001279D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001253Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001234C;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001204T;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0216823P;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0813639P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0463459H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001240J;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001191D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0813661P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0216824R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001102C;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001267P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0006518G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0009900A;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22,46;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0008832L;VFF;Facture MASTERNAUT FR1181216 052025;3;STANDARD;33,69;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0009543V;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0009886J;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0231892N;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0008827F;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0009764W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0009698W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK1034014R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0029046G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0029079V;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0346471S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0029054R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0045173H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001492W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001520C;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0217799Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0648575S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK1241076N;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0066095H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001538Y;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;67955-FRA92150;GK0001519B;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11,23;EUR;31/05/2025;FR1181216;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
