DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
26/08/2026;0348;401050;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;0,00001;STANDARD;5173,730000;EUR;11/05/2026;40695517S;;;;;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;5,00000;STANDARD;368,900000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ PARTIES FIXES;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;1,00000;STANDARD;175,480000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ STOCKAGE;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;1,00000;STANDARD;9,000000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ PARTIES FIXES;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;42,72900;STANDARD;2676,540000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;179,60000;STANDARD;24,230000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ PARTIES FIXES;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;42,72900;STANDARD;700,330000;EUR;11/05/2026;40695517S;20,000;TICGN GAZ;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;1,00000;STANDARD;24,530000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ PARTIES FIXES;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;602210;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;42,72900;STANDARD;332,430000;EUR;11/05/2026;40695517S;20,000;DEBOURS P1 GAZ DISTRIBUTION;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0348;445660;84449-FRA67953;GL1756553H;CEG;FAC GAZ 40695517S 50845R 2516950;0,00001;STANDARD;862,290000;EUR;11/05/2026;40695517S;20,000;;;DED_20.00D;11/05/2026;40695517S_80.pdf;EDI;B00000004E;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0001;401050;24775-FRA69466;GL0747809H;CEG;FAC GAZGI049846 10257478482  8776600543;0,00001;STANDARD;483,520000;EUR;02/08/2026;10257478482;;;WIRE;;02/08/2026;EDF_10257478482.pdf;MAN;B00000008J;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0001;602210;24775-FRA69466;GL0747809H;CEG;FAC GAZGI049846 10257478482  8776600543;2,00000;STANDARD;311,440000;EUR;02/08/2026;10257478482;20,000;DEBOURS P1 GAZ PARTIES FIXES;WIRE;DED_20.00D;02/08/2026;EDF_10257478482.pdf;MAN;B00000008J;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
26/08/2026;0001;602210;24775-FRA69466;GL0747809H;CEG;FAC GAZGI049846 10257478482  8776600543;1,00000;STANDARD;27,320000;EUR;02/08/2026;10257478482;20,000;DEBOURS P1 GAZ PARTIES FIXES;WIRE;DED_20.00D;02/08/2026;EDF_10257478482.pdf;MAN;B00000008J;CEL01_SRC_FACTURESFOURNISSEURS_110826-200457_ST_CEL01_639220754971423753_001;CELERIS
