GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0804;401100;35973-FRA69200VIRM;GN1756929K;HAF;STANDARD - FPRH075438;0,00001;STANDARD;1084,61;EUR;05/08/2026;FPRH075438;0,00;;;;;PRN-FVS0084655-Facture-FPRH075438-F-06-08-2026-12-50-56-2964095.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;445660;35973-FRA69200VIRM;GN1756929K;HAF;STANDARD - FPRH075438;672,00000;STANDARD;180,77;EUR;05/08/2026;FPRH075438;20,00;;;DED_20.00D;;PRN-FVS0084655-Facture-FPRH075438-F-06-08-2026-12-50-56-2964095.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;602210;35973-FRA69200VIRM;GN1756929K;HAF;STANDARD - FPRH075438;672,00000;STANDARD;903,84;EUR;05/08/2026;FPRH075438;20,00;UC ACHAT FOD;;;;PRN-FVS0084655-Facture-FPRH075438-F-06-08-2026-12-50-56-2964095.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;401100;6765-FRA44186;GN1113066Y;HAF;STANDARD - FPVS064118;0,00001;STANDARD;23739,12;EUR;30/07/2026;FPVS064118;0,00;;;;;PRN-FVS0084656-FPVS064118.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;445660;6765-FRA44186;GN1113066Y;HAF;STANDARD - FPVS064118;15000,00000;STANDARD;3956,52;EUR;30/07/2026;FPVS064118;20,00;;;DED_20.00D;;PRN-FVS0084656-FPVS064118.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;602210;6765-FRA44186;GN1113066Y;HAF;STANDARD - FPVS064118;15000,00000;STANDARD;19782,60;EUR;30/07/2026;FPVS064118;20,00;UC ACHAT DE CARBURANT;;;;PRN-FVS0084656-FPVS064118.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;401100;20723-FRA33300;GN1580257X;HAF;STANDARD - FP04310808;0,00001;STANDARD;815,11;EUR;26/06/2026;FP04310808;0,00;;;;;PRN-FVS0084657-FP04310808.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;445660;20723-FRA33300;GN1580257X;HAF;STANDARD - FP04310808;520,00000;STANDARD;135,85;EUR;26/06/2026;FP04310808;20,00;;;DED_20.00D;;PRN-FVS0084657-FP04310808.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;602210;20723-FRA33300;GN1580257X;HAF;STANDARD - FP04310808;520,00000;STANDARD;679,26;EUR;26/06/2026;FP04310808;20,00;UC ACHAT DE CARBURANT;;;;PRN-FVS0084657-FP04310808.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;401100;6765-FRA44186;GD1561838R;HAF;STANDARD - FPSA021870;0,00001;STANDARD;16275,36;EUR;03/08/2026;FPSA021870;0,00;;;;;PRN-FVS0084658-CPO-FPSA021870.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;445660;6765-FRA44186;GD1561838R;HAF;STANDARD - FPSA021870;10000,00000;STANDARD;2712,56;EUR;03/08/2026;FPSA021870;20,00;;;DED_20.00D;;PRN-FVS0084658-CPO-FPSA021870.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;602210;6765-FRA44186;GD1561838R;HAF;STANDARD - FPSA021870;10000,00000;STANDARD;13562,80;EUR;03/08/2026;FPSA021870;20,00;UC ACHAT FOD;;;;PRN-FVS0084658-CPO-FPSA021870.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
26/08/2026;0804;401100;6765-FRA44186;GN1762338G;HAF;STANDARD - FPLA060764;0,00001;STANDARD;396,06;EUR;05/08/2026;FPLA060764;0,00;;;;;PRN-FVS0084659-CPO-FPLA060764.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260810_210142;PIRENE
