GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0367;401100;50641-FRA62003;GN1583652E;HAF;STANDARD - 260702459;0,00001;STANDARD;4674,90;EUR;28/07/2026;260702459;0,00;;;;;PRN-FVB0064251-Facture-n--260702459.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GN1583652E;HAF;STANDARD - 260702459;104,56000;STANDARD;779,15;EUR;28/07/2026;260702459;20,00;;;DED_20.00E;;PRN-FVB0064251-Facture-n--260702459.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GN1583652E;HAF;STANDARD - 260702459;104,56000;STANDARD;3895,75;EUR;28/07/2026;260702459;20,00;COUTS CENDRES;;;;PRN-FVB0064251-Facture-n--260702459.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1584001B;HAF;STANDARD - FAC00003889;0,00001;STANDARD;729,48;EUR;06/05/2026;FAC00003889;0,00;;;;;PRN-FVB0064252-facture-FAC00003889.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1584001B;HAF;STANDARD - FAC00003889;1,38000;STANDARD;121,58;EUR;06/05/2026;FAC00003889;20,00;;;DED_20.00E;;PRN-FVB0064252-facture-FAC00003889.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1584001B;HAF;STANDARD - FAC00003889;1,38000;STANDARD;607,90;EUR;06/05/2026;FAC00003889;20,00;COUTS CENDRES;;;;PRN-FVB0064252-facture-FAC00003889.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583251Z;HAF;STANDARD - FAC00004073;0,00001;STANDARD;720,36;EUR;30/07/2026;FAC00004073;0,00;;;;;PRN-FVB0064253-facture-FAC00004073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583251Z;HAF;STANDARD - FAC00004073;1,22000;STANDARD;120,06;EUR;30/07/2026;FAC00004073;20,00;;;DED_20.00E;;PRN-FVB0064253-facture-FAC00004073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583251Z;HAF;STANDARD - FAC00004073;1,22000;STANDARD;600,30;EUR;30/07/2026;FAC00004073;20,00;COUTS CENDRES;;;;PRN-FVB0064253-facture-FAC00004073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00082180-FRA65220;GN1584368T;HAF;STANDARD - 2026-000133;0,00001;STANDARD;11664,68;EUR;30/06/2026;2026-000133;0,00;;;;;PRN-FVB0064254-PREST-ARGUILH-2026-000133.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;S00082180-FRA65220;GN1584368T;HAF;STANDARD - 2026-000133;102,96000;STANDARD;1060,43;EUR;30/06/2026;2026-000133;10,00;;;DED_10.00D;;PRN-FVB0064254-PREST-ARGUILH-2026-000133.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;S00082180-FRA65220;GN1584368T;HAF;STANDARD - 2026-000133;102,96000;STANDARD;10604,25;EUR;30/06/2026;2026-000133;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064254-PREST-ARGUILH-2026-000133.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583847B;HAF;STANDARD - FAC00004060;0,00001;STANDARD;465,72;EUR;29/07/2026;FAC00004060;0,00;;;;;PRN-FVB0064255-facture-FAC00004060.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583847B;HAF;STANDARD - FAC00004060;1,72000;STANDARD;77,62;EUR;29/07/2026;FAC00004060;20,00;;;DED_20.00E;;PRN-FVB0064255-facture-FAC00004060.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583847B;HAF;STANDARD - FAC00004060;1,72000;STANDARD;388,10;EUR;29/07/2026;FAC00004060;20,00;COUTS CENDRES;;;;PRN-FVB0064255-facture-FAC00004060.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;84850-FRA22130;;HAF;STANDARD - 125260588;0,00001;STANDARD;38038,53;EUR;30/06/2026;125260588;0,00;;;;;PRN-FVB0064256-125260588.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;84850-FRA22130;;HAF;STANDARD - 125260588;493,74000;STANDARD;3458,05;EUR;30/06/2026;125260588;10,00;;;DED_10.00D;;PRN-FVB0064256-125260588.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;84850-FRA22130;;HAF;STANDARD - 125260588;493,74000;STANDARD;34580,48;EUR;30/06/2026;125260588;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064256-125260588.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004075;0,00001;STANDARD;734,04;EUR;30/07/2026;FAC00004075;0,00;;;;;PRN-FVB0064257-facture-FAC00004075.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004075;1,60000;STANDARD;122,34;EUR;30/07/2026;FAC00004075;20,00;;;DED_20.00E;;PRN-FVB0064257-facture-FAC00004075.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004075;1,60000;STANDARD;611,70;EUR;30/07/2026;FAC00004075;20,00;COUTS CENDRES;;;;PRN-FVB0064257-facture-FAC00004075.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;29067-FRA74210;GL0448225X;HAF;STANDARD - FA202600817;0,00001;STANDARD;126,00;EUR;06/08/2026;FA202600817;0,00;;;;;PRN-FVB0064258-Facture-FA202600817.pdf;PRN;B00000008J;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;29067-FRA74210;GL0448225X;HAF;STANDARD - FA202600817;1,00000;STANDARD;21,00;EUR;06/08/2026;FA202600817;20,00;;;DED_20.00E;;PRN-FVB0064258-Facture-FA202600817.pdf;PRN;B00000008J;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;29067-FRA74210;GL0448225X;HAF;STANDARD - FA202600817;1,00000;STANDARD;105,00;EUR;06/08/2026;FA202600817;20,00;COUTS CENDRES;;;;PRN-FVB0064258-Facture-FA202600817.pdf;PRN;B00000008J;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583789K;HAF;STANDARD - FAC00003946;0,00001;STANDARD;846,60;EUR;29/05/2026;FAC00003946;0,00;;;;;PRN-FVB0064259-CEYO-FAC00003946.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583789K;HAF;STANDARD - FAC00003946;1,60000;STANDARD;141,10;EUR;29/05/2026;FAC00003946;20,00;;;DED_20.00E;;PRN-FVB0064259-CEYO-FAC00003946.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583789K;HAF;STANDARD - FAC00003946;1,60000;STANDARD;705,50;EUR;29/05/2026;FAC00003946;20,00;COUTS CENDRES;;;;PRN-FVB0064259-CEYO-FAC00003946.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;51433-FRA76700;GN1644548E;HAF;STANDARD - F081300449;0,00001;STANDARD;334,06;EUR;31/05/2026;F081300449;0,00;;;;;PRN-FVB0064260-CHIMIREC-VAL-F081300449.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;51433-FRA76700;GN1644548E;HAF;STANDARD - F081300449;0,40600;STANDARD;49,68;EUR;31/05/2026;F081300449;20,00;;;DED_20.00E;;PRN-FVB0064260-CHIMIREC-VAL-F081300449.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;51433-FRA76700;GL1320191S;HAF;STANDARD - F081300449;1,00000;STANDARD;6,00;EUR;31/05/2026;F081300449;20,00;;;DED_20.00E;;PRN-FVB0064260-CHIMIREC-VAL-F081300449.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;51433-FRA76700;GN1644548E;HAF;STANDARD - F081300449;0,40600;STANDARD;248,38;EUR;31/05/2026;F081300449;20,00;COUTS CENDRES;;;;PRN-FVB0064260-CHIMIREC-VAL-F081300449.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;51433-FRA76700;GL1320191S;HAF;STANDARD - F081300449;1,00000;STANDARD;30,00;EUR;31/05/2026;F081300449;20,00;COUTS CENDRES;;;;PRN-FVB0064260-CHIMIREC-VAL-F081300449.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1584019X;HAF;STANDARD - FAC00004084;0,00001;STANDARD;737,64;EUR;31/07/2026;FAC00004084;0,00;;;;;PRN-FVB0064261-facture-FAC00004084.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1584019X;HAF;STANDARD - FAC00004084;1,70000;STANDARD;122,94;EUR;31/07/2026;FAC00004084;20,00;;;DED_20.00E;;PRN-FVB0064261-facture-FAC00004084.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1584019X;HAF;STANDARD - FAC00004084;1,70000;STANDARD;614,70;EUR;31/07/2026;FAC00004084;20,00;COUTS CENDRES;;;;PRN-FVB0064261-facture-FAC00004084.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GN1583299D;HAF;STANDARD - 260600888;0,00001;STANDARD;4368,98;EUR;08/06/2026;260600888;0,00;;;;;PRN-FVB0064262-SEDE-260600888.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GN1583299D;HAF;STANDARD - 260600888;66,70000;STANDARD;728,16;EUR;08/06/2026;260600888;20,00;;;DED_20.00E;;PRN-FVB0064262-SEDE-260600888.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GN1583299D;HAF;STANDARD - 260600888;66,70000;STANDARD;3640,82;EUR;08/06/2026;260600888;20,00;COUTS CENDRES;;;;PRN-FVB0064262-SEDE-260600888.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;108949-FRA17490;GL0212152G;HAF;STANDARD - 1125F141;0,00001;STANDARD;375,00;EUR;30/11/2025;1125F141;0,00;;;;;PRN-FVB0064263-MARTIN-BOIS-1125F141.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;108949-FRA17490;GL0212152G;HAF;STANDARD - 1125F141;2,00000;STANDARD;62,50;EUR;30/11/2025;1125F141;20,00;;;DED_20.00E;;PRN-FVB0064263-MARTIN-BOIS-1125F141.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;624100;108949-FRA17490;GL0212152G;HAF;STANDARD - 1125F141;2,00000;STANDARD;312,50;EUR;30/11/2025;1125F141;20,00;UC TRANSPORT BIOMASSE;;;;PRN-FVB0064263-MARTIN-BOIS-1125F141.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,00001;STANDARD;738,36;EUR;30/07/2026;FAC00004074;0,00;;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004074;1,00000;STANDARD;0,90;EUR;30/07/2026;FAC00004074;20,00;;;DED_20.00E;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,72000;STANDARD;122,16;EUR;30/07/2026;FAC00004074;20,00;;;DED_20.00E;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004074;1,00000;STANDARD;4,50;EUR;30/07/2026;FAC00004074;20,00;COUTS CENDRES;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,72000;STANDARD;610,80;EUR;30/07/2026;FAC00004074;20,00;COUTS CENDRES;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0856;0,00001;STANDARD;13850,17;EUR;06/08/2026;FS26/0856;0,00;;;;;PRN-FVB0064265-SYLVANORD-FS26-0856.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
