DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2226 082026;0;STANDARD;369,00;EUR;01/08/2026;F-2026-08-2226;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0009542T;VFF;Facture EVO GROUPE F-2026-08-2226 082026;1;STANDARD;307,50;EUR;01/08/2026;F-2026-08-2226;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2226 082026;0;STANDARD;61,50;EUR;01/08/2026;F-2026-08-2226;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2223 082026;0;STANDARD;318,00;EUR;01/08/2026;F-2026-08-2223;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0008384C;VFF;Facture EVO GROUPE F-2026-08-2223 082026;1;STANDARD;265,00;EUR;01/08/2026;F-2026-08-2223;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2223 082026;0;STANDARD;53,00;EUR;01/08/2026;F-2026-08-2223;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2222 082026;0;STANDARD;318,00;EUR;01/08/2026;F-2026-08-2222;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0008384C;VFF;Facture EVO GROUPE F-2026-08-2222 082026;1;STANDARD;265,00;EUR;01/08/2026;F-2026-08-2222;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2222 082026;0;STANDARD;53,00;EUR;01/08/2026;F-2026-08-2222;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2221 082026;0;STANDARD;318,00;EUR;01/08/2026;F-2026-08-2221;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0063776Y;VFF;Facture EVO GROUPE F-2026-08-2221 082026;1;STANDARD;265,00;EUR;01/08/2026;F-2026-08-2221;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2221 082026;0;STANDARD;53,00;EUR;01/08/2026;F-2026-08-2221;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;401100;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2238 082026;0;STANDARD;266,71;EUR;06/08/2026;F-2026-08-2238;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;613512;S00120831-FRA31000;GK0001553P;VFF;Facture EVO GROUPE F-2026-08-2238 082026;1;STANDARD;222,26;EUR;06/08/2026;F-2026-08-2238;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
25/08/2026;0001;445661;S00120831-FRA31000;GK0028795X;VFF;Facture EVO GROUPE F-2026-08-2238 082026;0;STANDARD;44,45;EUR;06/08/2026;F-2026-08-2238;20,00;LOCATIONS AUTOMOBILES;;;;;;B00000001B;VHC03_SRC_FACTURESFOURNISSEURS_170826_151802;DACAR
