Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667977 082026;0;STANDARD;6136,80;EUR;05/08/2026;667977;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;S00085786-FRA92140;GK0001077Z;VFF;Facture garage petit clamart 667977 082026;1;STANDARD;5114,00;EUR;05/08/2026;667977;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667977 082026;0;STANDARD;1022,80;EUR;05/08/2026;667977;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667763 072026;0;STANDARD;221,10;EUR;11/07/2026;667763;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;S00085786-FRA92140;GK0811098C;VFF;Facture garage petit clamart 667763 072026;1;STANDARD;184,25;EUR;11/07/2026;667763;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667763 072026;0;STANDARD;36,85;EUR;11/07/2026;667763;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667802 072026;0;STANDARD;858,00;EUR;15/07/2026;667802;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;S00085786-FRA92140;GK0734782E;VFF;Facture garage petit clamart 667802 072026;1;STANDARD;715,00;EUR;15/07/2026;667802;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667802 072026;0;STANDARD;143,00;EUR;15/07/2026;667802;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667925 072026;0;STANDARD;168,00;EUR;30/07/2026;667925;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;S00085786-FRA92140;GK0001052W;VFF;Facture garage petit clamart 667925 072026;1;STANDARD;140,00;EUR;30/07/2026;667925;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;S00085786-FRA92140;GK0028795X;VFF;Facture garage petit clamart 667925 072026;0;STANDARD;28,00;EUR;30/07/2026;667925;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
