Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38741879 042026;0;STANDARD;914,24;EUR;14/04/2026;38741879;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0028793V;VFF;Facture Carglass 38741879 042026;1;STANDARD;914,24;EUR;14/04/2026;38741879;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 38956768 062026;0;STANDARD;479,51;EUR;05/06/2026;38956768;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0028793V;VFF;Facture Carglass 38956768 062026;1;STANDARD;479,51;EUR;05/06/2026;38956768;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39339132 072026;0;STANDARD;89,10;EUR;31/07/2026;39339132;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK1434913H;VFF;Facture Carglass 39339132 072026;1;STANDARD;89,10;EUR;31/07/2026;39339132;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39342633 072026;0;STANDARD;60,30;EUR;31/07/2026;39342633;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0811112T;VFF;Facture Carglass 39342633 072026;1;STANDARD;60,30;EUR;31/07/2026;39342633;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39346212 072026;0;STANDARD;89,10;EUR;31/07/2026;39346212;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001690W;VFF;Facture Carglass 39346212 072026;1;STANDARD;89,10;EUR;31/07/2026;39346212;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
