Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;401050;0688;GL0040528E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;48,95;EUR;14/08/2026;0688K2608AUHM;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0040528E;GAZ;VENTE DE GAZ;0,00001;STANDARD;9,33;EUR;14/08/2026;0688K2608AUHM;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0040528E;GAZ;VENTE DE GAZ;0,00001;STANDARD;31,46;EUR;14/08/2026;0688K2608AUHM;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0040528E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,16;EUR;14/08/2026;0688K2608AUHM;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1424076T;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;134,40;EUR;14/08/2026;0688K2608AUCF;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL1424076T;GAZ;VENTE DE GAZ;0,00001;STANDARD;49,60;EUR;14/08/2026;0688K2608AUCF;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL1424076T;GAZ;VENTE DE GAZ;0,00001;STANDARD;62,40;EUR;14/08/2026;0688K2608AUCF;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL1424076T;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;22,4;EUR;14/08/2026;0688K2608AUCF;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0211930E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;240,82;EUR;14/08/2026;0688K2608AUCM;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;1,43800;STANDARD;0,59;EUR;14/08/2026;0688K2608AUCM;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000008J
