DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
26/08/2026;0001;401050;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;0,00001;STANDARD;205,800000;EUR;04/08/2026;10257671995;;;WIRE;;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;1,73700;STANDARD;129,030000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;1,00000;STANDARD;1,460000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;1,73700;STANDARD;5,210000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;3,00000;STANDARD;9,740000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;1,73600;STANDARD;25,200000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;606103;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;1,17300;STANDARD;0,860000;EUR;04/08/2026;10257671995;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0001;445660;24775-FRA59777;GL0216842L;CEE;FAC 02178726440182 10257671995 4649626340 5856388185;0,00001;STANDARD;34,300000;EUR;04/08/2026;10257671995;20,000;;WIRE;DED_20.00D;04/08/2026;10257671995_259.pdf;EDI;B00000003D;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0167;401050;24775-FRA75937;GL0212006R;CEE;AV 30002220440272 10258608991 CONSO PROPRE 9564866869;0,00001;CREDIT;-9629,300000;EUR;18/08/2026;10258608991;;;;;18/08/2026;10258608991_38.pdf;EDI;B00000002C;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0167;606103;24775-FRA75937;GL0212006R;CEE;AV 30002220440272 10258608991 CONSO PROPRE 9564866869;-2,85500;CREDIT;-276,430000;EUR;18/08/2026;10258608991;20,000;ACHAT ELECTRICITE P2;;DED_20.00D;18/08/2026;10258608991_38.pdf;EDI;B00000002C;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
26/08/2026;0167;606103;24775-FRA75937;GL0212006R;CEE;AV 30002220440272 10258608991 CONSO PROPRE 9564866869;1,00000;CREDIT;-1300,700000;EUR;18/08/2026;10258608991;20,000;ACHAT ELECTRICITE P2;;DED_20.00D;18/08/2026;10258608991_38.pdf;EDI;B00000002C;CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001;CELERIS
