DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
26/08/2026;0001;401050;0688;GL1199690J;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;921,38;EUR;24/08/2026;0688K2608BTVT;;;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;8,05700;STANDARD;3,31;EUR;24/08/2026;0688K2608BTVT;20,00;GAZ - MECANISME CPB;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;0,00001;STANDARD;43,36;EUR;24/08/2026;0688K2608BTVT;20,00;DEBOURS P1 GAZ STOCKAGE;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;8,05700;STANDARD;103,05;EUR;24/08/2026;0688K2608BTVT;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;8,05700;STANDARD;132,05;EUR;24/08/2026;0688K2608BTVT;20,00;TICGN GAZ;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;0,00001;STANDARD;154,91;EUR;24/08/2026;0688K2608BTVT;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL1199690J;GAZ;VENTE DE GAZ;8,05700;STANDARD;331,14;EUR;24/08/2026;0688K2608BTVT;20,00;DEBOURS P1 GAZ;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;445660;0688;GL1199690J;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;153,56;EUR;24/08/2026;0688K2608BTVT;20,00;;;;24/08/2026;;;B00000007H;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;401050;0688;GL0040246J;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;122,02;EUR;24/08/2026;0688K2608BVEM;;;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL0040246J;GAZ;VENTE DE GAZ;0,00001;STANDARD;37,24;EUR;24/08/2026;0688K2608BVEM;20,00;DEBOURS P1 GAZ STOCKAGE;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL0040246J;GAZ;VENTE DE GAZ;0,00001;STANDARD;64,44;EUR;24/08/2026;0688K2608BVEM;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;445660;0688;GL0040246J;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;20,34;EUR;24/08/2026;0688K2608BVEM;20,00;;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;401050;0688;GL0040232T;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;117,76;EUR;24/08/2026;0688K2608BVEP;;;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL0040232T;GAZ;VENTE DE GAZ;0,00001;STANDARD;35,61;EUR;24/08/2026;0688K2608BVEP;20,00;DEBOURS P1 GAZ STOCKAGE;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;602210;0688;GL0040232T;GAZ;VENTE DE GAZ;0,00001;STANDARD;62,52;EUR;24/08/2026;0688K2608BVEP;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
26/08/2026;0001;445660;0688;GL0040232T;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;19,63;EUR;24/08/2026;0688K2608BVEP;20,00;;;;24/08/2026;;;B00000003D;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;CID
