Date arrÃªtÃ© comptable;Code sociÃ©tÃ©;Compte local;ID fournisseur externe;CodeTache;Code folio;LibellÃ©;QuantitÃ©;Type;Montant;Devise;Date de piÃšce comptable;NumÃ©ro de piÃšce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'Ã©chÃ©ance;ID scan facture;Origine scan facture;Code region;Source file id;Application source
26/08/2026;0367;401100;111093-FRA72000;GN1583479H;HAF;STANDARD - 2986;0,00001;STANDARD;9898,31;EUR;18/08/2026;2986;0,00;;;;;PRN-FVB0064540-N.2986-BEF-St-Pierre-des-Corps.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;111093-FRA72000;GN1583479H;HAF;STANDARD - 2986;91,96000;STANDARD;899,85;EUR;18/08/2026;2986;10,00;;;DED_10.00D;;PRN-FVB0064540-N.2986-BEF-St-Pierre-des-Corps.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;111093-FRA72000;GN1583479H;HAF;STANDARD - 2986;91,96000;STANDARD;8998,46;EUR;18/08/2026;2986;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064540-N.2986-BEF-St-Pierre-des-Corps.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;87475-FRA44780;GN1583487S;HAF;STANDARD - FA2791;0,00001;STANDARD;19177,97;EUR;31/07/2026;FA2791;0,00;;;;;PRN-FVB0064541-MOISDON-N.FA2791.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;87475-FRA44780;GN1583487S;HAF;STANDARD - FA2791;191,10000;STANDARD;1743,45;EUR;31/07/2026;FA2791;10,00;;;DED_10.00D;;PRN-FVB0064541-MOISDON-N.FA2791.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;87475-FRA44780;GN1583487S;HAF;STANDARD - FA2791;191,10000;STANDARD;17434,52;EUR;31/07/2026;FA2791;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064541-MOISDON-N.FA2791.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;S00034930-FRA12850;GN1583734Y;HAF;STANDARD - 26070238;0,00001;STANDARD;1853,76;EUR;31/07/2026;26070238;0,00;;;;;PRN-FVB0064542-BRALEY-26070238.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;S00034930-FRA12850;GN1583734Y;HAF;STANDARD - 26070238;9,04000;STANDARD;308,96;EUR;31/07/2026;26070238;20,00;;;DED_20.00E;;PRN-FVB0064542-BRALEY-26070238.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;S00034930-FRA12850;GN1583734Y;HAF;STANDARD - 26070238;9,04000;STANDARD;1544,80;EUR;31/07/2026;26070238;20,00;COUTS CENDRES;;;;PRN-FVB0064542-BRALEY-26070238.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;78936-FRA62950;GN1654507X;HAF;STANDARD - VLF26G0026;0,00001;STANDARD;5600,54;EUR;23/07/2026;VLF26G0026;0,00;;;;;PRN-FVB0064543-SUEZ---VLF26G0026.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
