NUMERO_PIECE;DATE_ARRETE_COMPTABLE;DEVISE;SOCIETE;COMPTE_LOCAL;PARTENAIRE;CENTRE_FINANCE;TACHE;MONTANT_DEBIT;MONTANT_CREDIT;LIBELLE;CODE_FOLIO;TYPE_EVENEMENT;TYPE_DEPENSE;QUANTITE;DATE_PIECE_COMPTABLE;REGION;EDF_FLUX;EDF_CLEF_REFERENCE_01;EDF_DATE_VALEUR;EDF_NUM_OPERATION;EDF_CLEF_REFERENCE_02;FLAG_TVA;EDF_DATE_FACTURE;CODE_TAXE;EDF_REFERENCE_FACTURE;EDF_MONTANT_FACTURE
0000000001;27/07/2026;EUR;0001;759990;0;B00002691H;GK0545475H;0;1189.45;GK0545475H;THO;VENTE AU T.H.O.;;13.91;27/07/2026;B00000007H;;;;;;;;;;
0000000002;27/07/2026;EUR;0001;759990;0;B00002315F;GK0220345S;0;36672.95;GK0220345S;THO;VENTE AU T.H.O.;;538.2;27/07/2026;B00000007H;;;;;;;;;;
0000000003;27/07/2026;EUR;0001;759990;0;B00003220J;GK1350731X;0;707.76;GK1350731X;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000007H;;;;;;;;;;
0000000004;27/07/2026;EUR;0119;759990;0;B00002624G;GK0463313S;0;738.00;GK0463313S;THO;VENTE AU T.H.O.;;12.0;27/07/2026;B00000001B;;;;;;;;;;
0000000005;27/07/2026;EUR;0348;759990;0;B00001590G;GK0001621S;0;530.25;GK0001621S;THO;VENTE AU T.H.O.;;7.07;27/07/2026;B00000004E;;;;;;;;;;
0000000006;27/07/2026;EUR;0001;759990;0;B00001223P;GK0001226T;0;263.00;GK0001226T;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000008J;;;;;;;;;;
0000000007;27/07/2026;EUR;0001;759990;0;B00001568G;GK0001582Y;0;90.72;GK0001582Y;THO;VENTE AU T.H.O.;;1.44;27/07/2026;B00000004E;;;;;;;;;;
0000000008;27/07/2026;EUR;0001;759990;0;B00001806C;GK0010187B;0;83.82;GK0010187B;THO;VENTE AU T.H.O.;;1.27;27/07/2026;B00000006G;;;;;;;;;;
0000000009;27/07/2026;EUR;0001;759990;0;B00001503H;GK0009769B;0;269.20;GK0009769B;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000003D;;;;;;;;;;
0000000010;27/07/2026;EUR;0001;759990;0;B00001530N;GK0009550C;0;337.85;GK0009550C;THO;VENTE AU T.H.O.;;5.02;27/07/2026;B00000003D;;;;;;;;;;
0000000011;27/07/2026;EUR;0373;759990;0;B00001491V;GK0008832L;0;696.08;GK0008832L;THO;VENTE AU T.H.O.;;14.0;27/07/2026;B00000003D;;;;;;;;;;
0000000012;27/07/2026;EUR;0001;759990;0;B00001055Z;GK0001197K;0;251.90;GK0001197K;THO;VENTE AU T.H.O.;;4.02;27/07/2026;B00000008J;;;;;;;;;;
0000000013;27/07/2026;EUR;0001;759990;0;B00002366N;GK0232643S;0;156.00;GK0232643S;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000005F;;;;;;;;;;
0000000014;27/07/2026;EUR;0001;759990;0;B00001355P;GK0001492W;0;439.37;GK0001492W;THO;VENTE AU T.H.O.;;5.87;27/07/2026;B00000007H;;;;;;;;;;
0000000015;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;245.25;GK0001592J;THO;VENTE AU T.H.O.;;3.27;27/07/2026;B00000004E;;;;;;;;;;
0000000016;27/07/2026;EUR;0001;759990;0;B00001370G;GK0001508N;0;866.17;GK0001508N;THO;VENTE AU T.H.O.;;12.02;27/07/2026;B00000007H;;;;;;;;;;
0000000017;27/07/2026;EUR;0119;759990;0;B00002524T;GK0364509P;0;711.20;GK0364509P;THO;VENTE AU T.H.O.;;14.0;27/07/2026;B00000001B;;;;;;;;;;
0000000018;27/07/2026;EUR;0470;759990;0;B00002947Z;GK0958636J;0;384.00;GK0958636J;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000005F;;;;;;;;;;
0000000019;27/07/2026;EUR;0001;759990;0;B00001566E;GK0001580W;0;86.43;GK0001580W;THO;VENTE AU T.H.O.;;1.29;27/07/2026;B00000004E;;;;;;;;;;
