DateArretComptable;CodeSociete;CompteLocal;IDFournisseurExterne;CodeTache;CodeFolio;Libelle;Quantite;Type;Montant;Devise;DatePiece;NumeroPiece;TauxTVA;Nature1;Nature2;TypeTVA;DateEcheance;IdScanFacture;OrigineScanFacture;CodeRegion;SourceFileId;ApplicationSource
05/03/2026;0001;425550;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;208,34;EXPENSE REPORT;208,34;EUR;23/02/2026;452756;;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;11,30;EXPENSE REPORT;11,30;EUR;23/02/2026;452756;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;41,60;EXPENSE REPORT;41,60;EUR;23/02/2026;452756;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;21,90;EXPENSE REPORT;21,90;EUR;23/02/2026;452756;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;15,14;EXPENSE REPORT;15,14;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;21,35;EXPENSE REPORT;21,35;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;15,14;EXPENSE REPORT;15,14;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;15,14;EXPENSE REPORT;15,14;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;10,28;EXPENSE REPORT;10,28;EUR;23/02/2026;452756;10,00;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;13,64;EXPENSE REPORT;13,64;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;7,54;EXPENSE REPORT;7,54;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;14,97;EXPENSE REPORT;14,97;EUR;23/02/2026;452756;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;4,08;EXPENSE REPORT;4,08;EUR;23/02/2026;452756;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;1,58;EXPENSE REPORT;1,58;EUR;23/02/2026;452756;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;2,75;EXPENSE REPORT;2,75;EUR;23/02/2026;452756;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;3,25;EXPENSE REPORT;3,25;EUR;23/02/2026;452756;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;2,34;EXPENSE REPORT;2,34;EUR;23/02/2026;452756;20,00;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;4,37;EXPENSE REPORT;4,37;EUR;23/02/2026;452756;5,50;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;1,64;EXPENSE REPORT;1,64;EUR;23/02/2026;452756;5,50;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;72282H-OFFICE;GK1557997B;NOT;NDF/TELLIER, MATHIEU;0,33;EXPENSE REPORT;0,33;EUR;23/02/2026;452756;5,50;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;425550;75650P-OFFICE;GK1359173P;NOT;NDF/NICOLEAU, AUGUSTIN;21,99;EXPENSE REPORT;21,99;EUR;03/03/2026;493277;;;;;;;;B00000005F;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75650P-OFFICE;GK1359173P;NOT;NDF/NICOLEAU, AUGUSTIN;21,99;EXPENSE REPORT;21,99;EUR;03/03/2026;493277;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000005F;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;425550;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;237,17;EXPENSE REPORT;237,17;EUR;02/03/2026;499825;;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;28,70;EXPENSE REPORT;28,70;EUR;02/03/2026;499825;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;606105;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;11,35;EXPENSE REPORT;11,35;EUR;02/03/2026;499825;0,00;CARBURANT ET LUBRIFIANT;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;18,09;EXPENSE REPORT;18,09;EUR;02/03/2026;499825;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;13,38;EXPENSE REPORT;13,38;EUR;02/03/2026;499825;10,00;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;10,00;EXPENSE REPORT;10,00;EUR;02/03/2026;499825;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;75,82;EXPENSE REPORT;75,82;EUR;02/03/2026;499825;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;9,82;EXPENSE REPORT;9,82;EUR;02/03/2026;499825;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;20,09;EXPENSE REPORT;20,09;EUR;02/03/2026;499825;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;3,75;EXPENSE REPORT;3,75;EUR;02/03/2026;499825;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;606105;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;37,85;EXPENSE REPORT;37,85;EUR;02/03/2026;499825;20,00;CARBURANT ET LUBRIFIANT;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;75251P-OFFICE;GK0028780E;NOT;NDF/BOSQ, JEAN-CHRISTOPHE;8,32;EXPENSE REPORT;8,32;EUR;02/03/2026;499825;20,00;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;425550;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;330,97;EXPENSE REPORT;330,97;EUR;04/03/2026;501133;;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;27,40;EXPENSE REPORT;27,40;EUR;04/03/2026;501133;0,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;225,52;EXPENSE REPORT;225,52;EUR;04/03/2026;501133;0,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;16,82;EXPENSE REPORT;16,82;EUR;04/03/2026;501133;10,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;445660;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;6,60;EXPENSE REPORT;6,60;EUR;04/03/2026;501133;10,00;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;20,91;EXPENSE REPORT;20,91;EUR;04/03/2026;501133;10,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;14,55;EXPENSE REPORT;14,55;EUR;04/03/2026;501133;10,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;13,80;EXPENSE REPORT;13,80;EUR;04/03/2026;501133;10,00;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625101;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;5,09;EXPENSE REPORT;5,09;EUR;04/03/2026;501133;5,50;VOYAGES DEPLACEMENTS FORMATION;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;445660;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;0,28;EXPENSE REPORT;0,28;EUR;04/03/2026;501133;5,50;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;425550;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;180,70;EXPENSE REPORT;180,70;EUR;02/03/2026;501600;;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;65,00;EXPENSE REPORT;65,00;EUR;02/03/2026;501600;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;60,00;EXPENSE REPORT;60,00;EUR;02/03/2026;501600;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;28,73;EXPENSE REPORT;28,73;EUR;02/03/2026;501600;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;15,37;EXPENSE REPORT;15,37;EUR;02/03/2026;501600;10,00;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;5,83;EXPENSE REPORT;5,83;EUR;02/03/2026;501600;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;625100;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;3,83;EXPENSE REPORT;3,83;EUR;02/03/2026;501600;20,00;VOYAGES & DEPLACEMENTS;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0001;445660;56614S-OFFICE;GK0006837V;NOT;NDF/BOTREL, ERIC;1,94;EXPENSE REPORT;1,94;EUR;02/03/2026;501600;20,00;;;;;;;B00000003D;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;425550;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;549,00;EXPENSE REPORT;549,00;EUR;04/03/2026;501758;;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;9,90;EXPENSE REPORT;9,90;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;0,76;EXPENSE REPORT;0,76;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;75,50;EXPENSE REPORT;75,50;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;75,50;EXPENSE REPORT;75,50;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;73,30;EXPENSE REPORT;73,30;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;45,00;EXPENSE REPORT;45,00;EUR;04/03/2026;501758;0,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;1,14;EXPENSE REPORT;1,14;EUR;04/03/2026;501758;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;9,00;EXPENSE REPORT;9,00;EUR;04/03/2026;501758;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;9,48;EXPENSE REPORT;9,48;EUR;04/03/2026;501758;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;445660;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;19,08;EXPENSE REPORT;19,08;EUR;04/03/2026;501758;10,00;;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;10,28;EXPENSE REPORT;10,28;EUR;04/03/2026;501758;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
05/03/2026;0119;625100;73538K-OFFICE;GK1202927M;NOT;NDF/DESVIGNES, QUENTIN;20,00;EXPENSE REPORT;20,00;EUR;04/03/2026;501758;10,00;VOYAGES & DEPLACEMENTS;;;;;;B00000001B;NOT01_SRC_FACTURESFOURNISSEURS_20260305235119;NOTILUS
