"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"GAZ";"0688K2607WXF4";"01/07/2026";"492,82";"492,82";"492,82";"INTEGREE"
"GAZ";"0688K2607WXF2";"01/07/2026";"347,57";"347,57";"347,57";"INTEGREE"
"GAZ";"0688K2607WXF3";"01/07/2026";"506,83";"506,83";"506,83";"INTEGREE"
"GAZ";"0688K2607WWQ2";"01/07/2026";"355,36";"355,36";"355,36";"INTEGREE"
"GAZ";"0688K2607WWQ0";"01/07/2026";"742,16";"742,16";"742,16";"INTEGREE"
"GAZ";"0688K2607WWT5";"01/07/2026";"201,3";"201,3";"201,3";"INTEGREE"
"GAZ";"0688K2607WWT3";"01/07/2026";"377,77";"377,77";"377,77";"INTEGREE"
"GAZ";"0688K2607WWT2";"01/07/2026";"145,07";"145,07";"145,07";"INTEGREE"
"GAZ";"0688K2607WWT4";"01/07/2026";"244,11";"244,11";"244,11";"INTEGREE"
"GAZ";"0688K2607WWS9";"01/07/2026";"197,75";"197,75";"197,75";"INTEGREE"
"GAZ";"0688K2607WWT0";"01/07/2026";"301,79";"301,79";"301,79";"INTEGREE"
"GAZ";"0688K2607WWT1";"01/07/2026";"74,91";"74,91";"74,91";"INTEGREE"
"GAZ";"0688K2607WXG4";"01/07/2026";"18052,7";"18052,7";"18052,7";"INTEGREE"
"GAZ";"0688K2607WXG5";"01/07/2026";"235,83";"235,83";"235,83";"INTEGREE"
"GAZ";"0688K2607WXE8";"01/07/2026";"821,64";"821,64";"821,64";"INTEGREE"
"GAZ";"0688K2607WXH7";"01/07/2026";"267,11";"267,11";"267,11";"INTEGREE"
"GAZ";"0688K2607WXH6";"01/07/2026";"222,36";"222,36";"222,36";"INTEGREE"
"GAZ";"0688K2607WWY5";"01/07/2026";"100,03";"100,03";"100,03";"INTEGREE"
"GAZ";"0688K2607WWY6";"01/07/2026";"248,42";"248,42";"248,42";"INTEGREE"
"GAZ";"0688K2607WXH4";"01/07/2026";"462,16";"462,16";"462,16";"INTEGREE"
"GAZ";"0688K2607WWT9";"01/07/2026";"202,6";"202,6";"202,6";"INTEGREE"
"GAZ";"0688K2607WWV0";"01/07/2026";"64,92";"64,92";"64,92";"INTEGREE"
"GAZ";"0688K2607WWU9";"01/07/2026";"222,92";"222,92";"222,92";"INTEGREE"
"GAZ";"0688K2607WXV0";"01/07/2026";"315,85";"315,85";"315,85";"INTEGREE"
"GAZ";"0688K2607WXV1";"01/07/2026";"339,06";"339,06";"339,06";"INTEGREE"
"GAZ";"0688K2607WXV3";"01/07/2026";"235,17";"235,17";"235,17";"INTEGREE"
"GAZ";"0688K2607WXV5";"01/07/2026";"130,56";"130,56";"130,56";"INTEGREE"
"GAZ";"0688K2607WXU2";"01/07/2026";"777,3";"777,3";"777,3";"INTEGREE"
"GAZ";"0688K2607WXV6";"01/07/2026";"77,59";"77,59";"77,59";"INTEGREE"
"GAZ";"0688K2607WXU9";"01/07/2026";"117,98";"117,98";"117,98";"INTEGREE"
"GAZ";"0688K2607WWW0";"01/07/2026";"125,56";"125,56";"125,56";"INTEGREE"
"GAZ";"0688K2607WWV9";"01/07/2026";"237,94";"237,94";"237,94";"INTEGREE"
"GAZ";"0688K2607WXK2";"01/07/2026";"252,56";"252,56";"252,56";"INTEGREE"
"GAZ";"0688K2607WXW6";"01/07/2026";"460,96";"460,96";"460,96";"INTEGREE"
"GAZ";"0688K2607WXW9";"01/07/2026";"123,45";"123,45";"123,45";"INTEGREE"
"GAZ";"0688K2607WWY4";"01/07/2026";"140,34";"140,34";"140,34";"INTEGREE"
"GAZ";"0688K2607WWP7";"01/07/2026";"129,01";"129,01";"129,01";"INTEGREE"
"GAZ";"0688K2607WWS8";"01/07/2026";"129,93";"129,93";"129,93";"INTEGREE"
"GAZ";"0688K2607WWS7";"01/07/2026";"139,59";"139,59";"139,59";"INTEGREE"
"GAZ";"0688K2607WWY7";"01/07/2026";"2759,7";"2759,7";"2759,7";"INTEGREE"
"GAZ";"0688K2607WXF5";"01/07/2026";"404,76";"404,76";"404,76";"INTEGREE"
"GAZ";"0688K2607WWP5";"01/07/2026";"768,04";"768,04";"768,04";"INTEGREE"
"GAZ";"0688K2607WXN0";"01/07/2026";"298,8";"298,8";"298,8";"INTEGREE"
"GAZ";"0688K2607WXP2";"01/07/2026";"284,67";"284,67";"284,67";"INTEGREE"
"GAZ";"0688K2607WXS5";"01/07/2026";"431,8";"431,8";"431,8";"INTEGREE"
"GAZ";"0688K2607WXD2";"01/07/2026";"1005,52";"1005,52";"1005,52";"INTEGREE"
"GAZ";"0688K2607WXD3";"01/07/2026";"367,55";"367,55";"367,55";"INTEGREE"
"GAZ";"0688K2607WWQ5";"01/07/2026";"861,5";"861,5";"861,5";"INTEGREE"
"GAZ";"0688K2607WWR7";"01/07/2026";"616,98";"616,98";"616,98";"INTEGREE"
"GAZ";"0688K2607WWR5";"01/07/2026";"144,2";"144,2";"144,2";"INTEGREE"
"GAZ";"0688K2607WWR9";"01/07/2026";"263,09";"263,09";"263,09";"INTEGREE"
"GAZ";"0688K2607WXD1";"01/07/2026";"218,14";"218,14";"218,14";"INTEGREE"
"GAZ";"0688K2607WXG2";"01/07/2026";"471,78";"471,78";"471,78";"INTEGREE"
