"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_260826-010723_ST_FAC02_639233032431247529_001";"4";"23048,46";"23048,46";"3";"60785,23";"60785,23";"1";"-37736,77";"-37736,77";"";"23048,46";"-37736,77";"60785,23";"3";"60785,23";"1";"-37736,77";"KO"
"BIO";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001";"5";"196693,05";"196693,05";"10";"393386,1";"393386,1";"-5";"-196693,05";"-196693,05";"";"196693,05";"-196693,05";"196693,05";"5";"196693,05";"0";"0,00";"OK"
"BIO";"FOURNISSEURS";"25/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001";"52";"1361178,85";"1361178,85";"51";"1235823,26";"1235823,26";"1";"125355,59";"125355,59";"";"1361178,85";"125355,59";"1230696,9";"51";"1235823,26";"1";"125355,59";"KO"
"CEC";"FOURNISSEURS";"26/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"6";"261388,6";"261388,6";"0";"0";"0";"6";"261388,6";"261388,6";"";"261388,6";"261388,6";"0";"0";"0";"6";"261388,6";"KO"
"CEE";"FOURNISSEURS";"26/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"78";"280462,16";"280462,16";"0";"0";"0";"78";"280462,16";"280462,16";"";"280462,16";"280462,16";"0";"0";"0";"78";"280462,16";"KO"
"CEG";"FOURNISSEURS";"26/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"23";"22550,27";"22550,27";"0";"0";"0";"23";"22550,27";"22550,27";"";"22550,27";"22550,27";"0";"0";"0";"23";"22550,27";"KO"
"CEG";"FOURNISSEURS";"10/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001";"0";"0";"0";"32";"66394,6";"66394,6";"-32";"-66394,6";"-66394,6";"";"0";"-66394,6";"69041,31";"33";"69041,31";"-33";"-69041,31";"KO"
"CYC";"CLIENTS";"07/08/2026";"HEF01_SRC_FACTURESCLIENTS_070826-011057_ST_HEF01_639216618570470716_001";"394";"3067497,68";"3067497,68";"0";"0";"0";"394";"3067497,68";"3067497,68";"";"3067497,68";"3067497,68";"9223,28";"392";"3058274,4";"2";"9223,28";"KO"
"CYC";"CLIENTS";"04/08/2026";"HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001";"432";"2389384,07";"2389384,07";"432";"2960807,53";"2960807,53";"0";"-571423,46";"-571423,46";"";"2389384,07";"-571423,46";"1765,3";"431";"2387618,77";"1";"1765,30";"KO"
"FAS";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"2";"32695,3";"32695,3";"0";"0";"0";"2";"32695,3";"32695,3";"";"32695,3";"32695,3";"0";"0";"0";"2";"32695,3";"KO"
"FAS";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"9";"11040000";"11040000";"1";"11040000";"11040000";"8";"0";"0";"FAS	GX1655063D	411100	20260730FAS	GX1655072N	411100	20260730FAS	GX1655075S	411100	20260730FAS	GX1655078W	411100	20260730FAS	GX1655079X	411100	20260730FAS	GX1655101X	411100	20260730FAS	GX1655105B	411100	20260730FAS	GX1651088L	411100	20260730Avec montant 0";"11040000";"0";"0";"1";"11040000";"8";"0";"KO"
"FGE";"GL";"27/08/2026";"FAC02_SRC_ECRITURESGL_270826-033312";"2";"1972,07";"1972,07";"0";"0";"0";"2";"1972,07";"1972,07";"";"1972,07";"1972,07";"0";"0";"0";"2";"1972,07";"KO"
"GAZ";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001";"1177";"283654,87";"283654,87";"2354";"567309,74";"567309,74";"-1177";"-283654,87";"-283654,87";"";"283654,87";"-283654,87";"283654,87";"1177";"283654,87";"0";"0,00";"OK"
"GCA";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"1571";"8549566,9";"8549566,9";"0";"0";"0";"1571";"8549566,9";"8549566,9";"";"8549566,9";"8549566,9";"0";"0";"0";"1571";"8549566,9";"KO"
"GCA";"CLIENTS";"18/08/2026";"FAC02_SRC_FACTURESCLIENTS_180826-004821_ST_FAC02_639226109017635143_001";"536";"6384010,83";"6384010,83";"535";"6384010,83";"6384010,83";"1";"0";"0";"";"6384010,83";"0";"13537,44";"521";"6370473,39";"15";"13537,44";"KO"
"GCA";"CLIENTS";"07/08/2026";"FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001";"536";"2657762,9";"2657762,9";"0";"0";"0";"536";"2657762,9";"2657762,9";"";"2657762,9";"2657762,9";"17717,66";"528";"2640045,24";"8";"17717,66";"KO"
"GCA";"CLIENTS";"04/08/2026";"FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001";"10775";"47884707,51";"47884707,51";"10775";"49508321,73";"49508321,73";"0";"-1623614,22";"-1623614,22";"";"47884707,51";"-1623614,22";"2738,4";"10774";"47881969,11";"1";"2738,40";"KO"
"GER";"GL";"27/08/2026";"FAC02_SRC_ECRITURESGL_270826-033312";"23";"4780,21";"4780,21";"0";"0";"0";"23";"4780,21";"4780,21";"";"4780,21";"4780,21";"0";"0";"0";"23";"4780,21";"KO"
"GER";"GL";"04/07/2026";"FAC02_SRC_ECRITURESGL_040726-011149";"36";"11971,96";"11971,96";"0";"0";"0";"36";"11971,96";"11971,96";"";"11971,96";"11971,96";"0";"35";"10303,76";"1";"1668,20";"KO"
"HAF";"FOURNISSEURS";"26/08/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624";"50";"752926,11";"752926,11";"0";"0";"0";"50";"752926,11";"752926,11";"";"752926,11";"752926,11";"0";"0";"0";"50";"752926,11";"KO"
"HAF";"FOURNISSEURS";"26/08/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260826_210251";"2";"0,4";"0,4";"0";"0";"0";"2";"0,4";"0,4";"";"0,4";"0,4";"0";"0";"0";"2";"0,4";"KO"
"HAF";"FOURNISSEURS";"11/08/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356";"0";"0";"0";"1";"5323,05";"5323,05";"-1";"-5323,05";"-5323,05";"";"0";"-5323,05";"617302,45";"29";"617302,45";"-29";"-617302,45";"KO"
"IGP";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"113";"639865,71";"639865,71";"0";"0";"0";"113";"639865,71";"639865,71";"";"639865,71";"639865,71";"0";"0";"0";"113";"639865,71";"KO"
"IGP";"CLIENTS";"03/08/2026";"FAC02_SRC_FACTURESCLIENTS_010826-005747_ST_FAC02_639211426673639666_001";"73";"674053,93";"674053,93";"73";"674493,13";"674493,13";"0";"-439,2";"-439,2";"";"674053,93";"-439,2";"-219,6";"72";"674273,53";"1";"-219,60";"KO"
"ING";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001";"2";"764209,22";"764209,22";"4";"1528418,44";"1528418,44";"-2";"-764209,22";"-764209,22";"";"764209,22";"-764209,22";"764209,22";"2";"764209,22";"0";"0,00";"OK"
"ING";"FOURNISSEURS";"03/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"326";"3748960,62";"3748960,62";"325";"3669141,8";"3669141,8";"1";"79818,82";"79818,82";"1 facture 0001R2607SRY8 en erreur format, flux 06297d30-75ec-11f1-9034-005056850e47Folio	Numero Piece	Date Piece	Montant Fichier	Montant OracleING	0001R2607SRY8	01/07/2026	79818,82			ABSENTE";"3748960,62";"79818,82";"3669141,8";"325";"3669141,8";"1";"79818,82";"KO"
"RNE";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"2";"1859,53";"1859,53";"0";"0";"0";"2";"1859,53";"1859,53";"";"1859,53";"1859,53";"0";"0";"0";"2";"1859,53";"KO"
"SVB";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"14";"3168678,44";"3168678,44";"0";"0";"0";"14";"3168678,44";"3168678,44";"";"3168678,44";"3168678,44";"0";"0";"0";"14";"3168678,44";"KO"
"SVD";"CLIENTS";"27/08/2026";"FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001";"289";"67991,57";"67991,57";"0";"0";"0";"289";"67991,57";"67991,57";"";"67991,57";"67991,57";"0";"0";"0";"289";"67991,57";"KO"
"THO";"GL";"25/08/2026";"VCH01_SRC_ECRITURESGL_270726-160000";"0";"0";"0";"1";"11177,07";"11177,07";"-1";"-11177,07";"-11177,07";"";"57254376,97";"0,00";"0";"24356";"57292704,38";"-24356";"-57292704,38";"KO"
"THO";"GL";"28/07/2026";"VCH01_SRC_ECRITURESGL_270726-160000";"24352";"57254376,97";"57254376,97";"24351";"57243199,9";"57243199,9";"1";"11177,07";"11177,07";"1 pièce dans la GDR : n° 0000007836";"57254376,97";"0,00";"0";"24356";"57292704,38";"-4";"-38327,41";"KO"
"VFF";"FOURNISSEURS";"19/08/2026";"VHC03_SRC_FACTURESFOURNISSEURS_100826_114541";"2";"1345,44";"1345,44";"1";"672,72";"672,72";"1";"672,72";"672,72";"1 facture REJECTED dans ap_invoices_interface et qu'une seule facture envoyée (voir pièce jointe) !A équilibrer";"1345,44";"672,72";"0";"0";"0";"2";"1345,44";"KO"
"VFF";"FOURNISSEURS";"10/08/2026";"VHC03_SRC_FACTURESFOURNISSEURS_070826_144348";"35";"1234169,75";"1234169,75";"1";"77248,04";"77248,03";"34";"1156921,71";"1156921,72";"Facture X6U00192 dans la GDR";"1234169,75";"1156921,71";"1234089,52";"33";"1233953,39";"2";"216,36";"KO"
"VFF";"FOURNISSEURS";"07/08/2026";"VHC03_SRC_FACTURESFOURNISSEURS_070826_114606";"12";"90052,46";"90052,46";"0";"0";"0";"12";"90052,46";"90052,46";"12 PROCESSED dans ap_invoices_interface.A voir pourquoi on n'a pas le retour d'Oracle dans Contrôle des flux";"90052,46";"90052,46";"89824,96";"10";"89824,96";"2";"227,50";"KO"
