Folio;Type;Date;Nom fichier transmis;App Amont Nb pi‚ce;App Amont D‚bit;App Amont Cr‚dit;SI Finance Nb piece;SI Finance D‚bit;SI Finance Cr‚dit;Ecarts Nb Piece;Ecarts D‚bit;Ecarts Cr‚dit;Commentaire;Somme Amont Fichier;Somme Ecart Fichier;Montant Interface OA;Nb Pieces OA;Montant OA ;Ecart Nb Piece Calcule;Ecart Mt Calcule;Statut Verification
BIO;FOURNISSEURS;26/08/2026;FAC02_SRC_FACTURESFOURNISSEURS_260826-010723_ST_FAC02_639233032431247529_001;4;23048,46;23048,46;3;60785,23;60785,23;1;-37736,77;-37736,77;;23048,46;-37736,77;60785,23;3;60785,23;1;-37736,77;KO
BIO;FOURNISSEURS;25/08/2026;FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001;52;1361178,85;1361178,85;51;1235823,26;1235823,26;1;125355,59;125355,59;;1361178,85;125355,59;1230696,9;51;1188338,89;1;172839,96;KO
CEC;FOURNISSEURS;26/08/2026;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;6;261388,6;261388,6;0;0;0;6;261388,6;261388,6;;261388,6;261388,6;260366,3;0;0;6;261388,6;KO
CEE;FOURNISSEURS;26/08/2026;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;78;280462,16;280462,16;0;0;0;78;280462,16;280462,16;;280462,16;280462,16;274696,68;0;0;78;280462,16;KO
CEG;FOURNISSEURS;26/08/2026;CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001;23;22550,27;22550,27;0;0;0;23;22550,27;22550,27;;22550,27;22550,27;22550,27;0;0;23;22550,27;KO
CEG;FOURNISSEURS;10/08/2026;CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001;0;0;0;32;66394,6;66394,6;-32;-66394,6;-66394,6;;69041,31;2646,71;69041,31;33;69041,31;-33;-69041,31;KO
FAS;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;2;32695,3;32695,3;0;0;0;2;32695,3;32695,3;;32695,3;32695,3;32695,3;0;0;2;32695,3;KO
FGE;GL;27/08/2026;FAC02_SRC_ECRITURESGL_270826-033312;2;1972,07;1972,07;0;0;0;2;1972,07;1972,07;;1972,07;1972,07;1972,07;0;0;2;1972,07;KO
GCA;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;1571;8549566,9;8549566,9;0;0;0;1571;8549566,9;8549566,9;;8549566,9;8549566,9;8549566,9;0;0;1571;8549566,9;KO
GCA;CLIENTS;04/08/2026;FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001;10775;47884707,51;47884707,51;10775;49508321,73;49508321,73;0;-1623614,22;-1623614,22;;47884707,51;-1623614,22;2738,4;10774;47881969,11;1;2738,4;KO
GER;GL;27/08/2026;FAC02_SRC_ECRITURESGL_270826-033312;23;4780,21;4780,21;0;0;0;23;4780,21;4780,21;;4780,21;4780,21;4780,21;0;0;23;4780,21;KO
HAF;FOURNISSEURS;26/08/2026;PRN01_SRC_FACTURESFOURNISSEURS_20260826_210251;2;0,4;0,4;0;0;0;2;0,4;0,4;;0,4;0,4;0,4;0;0;2;0,4;KO
HAF;FOURNISSEURS;26/08/2026;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;50;752926,11;752926,11;0;0;0;50;752926,11;752926,11;;752926,11;752926,11;678490,88;0;0;50;752926,11;KO
HAF;FOURNISSEURS;11/08/2026;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;0;0;0;1;5323,05;5323,05;-1;-5323,05;-5323,05;;0;-5323,05;617302,45;29;617302,45;-29;-617302,45;KO
IGP;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;113;639865,71;639865,71;0;0;0;113;639865,71;639865,71;;639865,71;639865,71;639865,71;0;0;113;639865,71;KO
RNE;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;2;1859,53;1859,53;0;0;0;2;1859,53;1859,53;;1859,53;1859,53;1859,53;0;0;2;1859,53;KO
SVB;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;14;3168678,44;3168678,44;0;0;0;14;3168678,44;3168678,44;;3168678,44;3168678,44;3168678,44;0;0;14;3168678,44;KO
SVD;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;289;67991,57;67991,57;0;0;0;289;67991,57;67991,57;;67991,57;67991,57;67991,57;0;0;289;67991,57;KO
VTC;CLIENTS;27/08/2026;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;194;505277,04;505277,04;0;0;0;194;505277,04;505277,04;;505277,04;505277,04;505277,04;0;0;194;505277,04;KO
