Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Société;Numéro pièce;Date pièce comptable;Compte local;Sous compte;Montant débit;Montant crédit;Centre finance;TF;Quantité;Type dépense;Type évènement;Type TVA;Devise;Date Arrêté comptable;Description ligne;Date création GDR;Fichier SRC technique;ID GDR;Line GDR
OAE011;Impossible de déterminer la nature d'activité (segment8);FAC02_SRC_ECRITURESGL_130826-010025;CID;GER - CID Gerrico Encaissements;B00000006G - DLS REGION CENTRE-OUEST;0001;0812000007;01/08/2026;414106;0;0.000000;95.000000;B00003053V;GL0048761K;100000.000000;;;;EUR;01/08/2026;0221282K;14/08/2026;FIN02_SRC_ECRITURESGL_20260814-101956;591159;8615787
OAE011;Impossible de déterminer la nature d'activité (segment8);FAC02_SRC_ECRITURESGL_130826-010025;CID;GER - CID Gerrico Encaissements;B00000006G - DLS REGION CENTRE-OUEST;0001;0812000007;01/08/2026;512881;0;95.000000;0.000000;B00003053V;GL0048761K;100000.000000;;;;EUR;01/08/2026;0221282K;14/08/2026;FIN02_SRC_ECRITURESGL_20260814-101956;591159;8615788
OAE011;Impossible de déterminer la nature d'activité (segment8);FAC02_SRC_ECRITURESGL_210826-010814;CID;GER - CID Gerrico Encaissements;B00000006G - DLS REGION CENTRE-OUEST;0001;0820000020;21/08/2026;411106;0;0.000000;95.000000;B00003053V;GL0048761K;100000.000000;;;;EUR;26/08/2026;0221282K;21/08/2026;FAC02_PIVOT_GL_ECRITURESGL_20260821-011009;591286;8616400
OAE011;Impossible de déterminer la nature d'activité (segment8);FAC02_SRC_ECRITURESGL_210826-010814;CID;GER - CID Gerrico Encaissements;B00000006G - DLS REGION CENTRE-OUEST;0001;0820000020;21/08/2026;414106;0;95.000000;0.000000;B00003053V;GL0048761K;100000.000000;;;;EUR;26/08/2026;0221282K;21/08/2026;FAC02_PIVOT_GL_ECRITURESGL_20260821-011009;591286;8616401
OAE021;Les champs obligatoires ne sont pas tous renseignés.;CDPG.NC4.EXPORT.2026080414530255520.COMP.E_COMP_DALKIA.E_COMPTA_1;DIAPASON;KVI - Kyriba Virements;NA-Non affectable;0688;26 08 040006138;04/08/2026;585000;0;185609.510000;0.000000;0;0;0.000000;;;;EUR;03/08/2026;26 08 040006138/VMT-    DK_DVMAN 20260804/EUR/18560951;04/08/2026;EDF01_PIVOT_GL_ECRITURESGL_20260804-145357;590935;8614812
;;CDPG.NC4.EXPORT.2026080414530255520.COMP.E_COMP_DALKIA.E_COMPTA_1;DIAPASON;KVI - Kyriba Virements;NA-Non affectable;0688;26 08 040006138;04/08/2026;513347;0;0.000000;185609.510000;0;0;0.000000;;;;EUR;03/08/2026;26 08 040006138/VMT-    DK_DVMAN 20260804/EUR/18560951;04/08/2026;EDF01_PIVOT_GL_ECRITURESGL_20260804-145357;590935;8614813
OAE011;Impossible de déterminer la nature d'activité (segment8);VCH01_SRC_ECRITURESGL_270726-160000;ORION;THO - VACHE Valorisation Heures MO;B00000002C - DRW REGION ILE DE FRANCE;0001;0000007836;27/07/2026;609990;0;11177.070000;0.000000;B00001295X;GL1755480N;162.010000;MAIN  D'OEUVRE AU THO;;;EUR;27/07/2026;GL1755480N;28/07/2026;VCH01_SRC_ECRITURESGL_270726-160000;590583;8609292
;;VCH01_SRC_ECRITURESGL_270726-160000;ORION;THO - VACHE Valorisation Heures MO;B00000002C - DRW REGION ILE DE FRANCE;0001;0000007836;27/07/2026;759990;0;0.000000;11177.070000;B00001295X;GK0001011Z;162.010000;;VENTE AU T.H.O.;;EUR;27/07/2026;GK0001011Z;28/07/2026;VCH01_SRC_ECRITURESGL_270726-160000;590583;8609293
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;486.690000;B00002494J;GK0064788Y;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616402
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;486.690000;0.000000;B00002494J;GK0064788Y;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616403
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;19155.090000;B00002494J;GK1454537H;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616404
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;19155.090000;0.000000;B00002494J;GK1454537H;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616405
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;8559.060000;B00003134L;GK1454624G;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616406
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;8429.620000;0.000000;B00003134L;GK1454624G;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616407
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;862.840000;B00002498N;GK1454934J;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616408
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;862.840000;0.000000;B00002498N;GK1454934J;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616409
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;10126.770000;B00002498N;GK1454951D;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616410
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;12572.400000;0.000000;B00002498N;GK1454951D;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616411
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;0.000000;9427.510000;B00002498N;GK1454954G;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616412
OAE004;Type de dépense ou d'évÿnement inactif ou inexistant;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;641219;0;9427.510000;0.000000;B00002498N;GK1454954G;0.000000;ABO CET;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616413
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;421000;0;0.000000;102380.380000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616414
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;421000;0;2252.960000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616415
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;61929K;1.220000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616416
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;61930L;1.950000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616417
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;63427F;0.370000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616418
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;69926H;0.480000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616419
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;70272N;0.630000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616420
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;71297L;0.670000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616421
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;72695B;1.400000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616422
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425150;76307D;1.040000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616423
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425300;59952J;1213.470000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616424
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425300;59972K;1096.050000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616425
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425300;70834C;1813.470000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616426
;;GXP01_SRC_ECRITURESGL_0658_PRE_20260820_20260831;RHAPSODY;PRE - RHAPSODY ECRITURES PAIE;B00000001B - DOS REGION SIEGE FRANCE;0658;GEN0658202608;20/08/2026;425300;76065K;313.230000;0.000000;0;0;0.000000;;;;EUR;28/08/2026;ECRITURES DE PAIE GENERALES;21/08/2026;GXP01_PIVOT_GL_ECRITURESGL_20260821-081908;591287;8616427
