Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Société;Numéro pièce;Date pièce comptable;Compte local;Sous compte;Montant débit;Montant crédit;Centre finance;TF;Quantité;Type dépense;Type évènement;Type TVA;Devise;Date Arrêté comptable;Description ligne;Date création GDR;Fichier SRC technique;ID GDR;Line GDR
OAE036;date de fin de validit� du projet ant�rieure � la date de fin de la periode de contrepassation de la pi�ce;CEL01_SRC_ECRITURESGL_290726-170113;CELERIS;CEL - CELERIS CAP;B00000007H - DEW REGION MEDITERRANEE;0001;02907000803;28/07/2026;606103;3000;2610.680000;0.000000;B00001353M;GL0228970T;0.000010;DEBOURS P1 ELECTRICITE;;YES;EUR;28/07/2026;CAP ELEC CELERIS;29/07/2026;CEL01_PIVOT_GL_ECRITURESGL_20260729-170423;590765;8610826
;;CEL01_SRC_ECRITURESGL_290726-170113;CELERIS;CEL - CELERIS CAP;B00000007H - DEW REGION MEDITERRANEE;0001;02907000803;28/07/2026;408150;3000;0.000000;3132.810000;B00001353M;GL0228970T;0.000010;;;;EUR;28/07/2026;CAP ELEC CELERIS;29/07/2026;CEL01_PIVOT_GL_ECRITURESGL_20260729-170423;590765;8610827
;;CEL01_SRC_ECRITURESGL_290726-170113;CELERIS;CEL - CELERIS CAP;B00000007H - DEW REGION MEDITERRANEE;0001;02907000803;28/07/2026;445860;0;522.130000;0.000000;B00001353M;GL0228970T;0.000010;;;YES;EUR;28/07/2026;CAP ELEC CELERIS;29/07/2026;CEL01_PIVOT_GL_ECRITURESGL_20260729-170423;590765;8610828
OAE002;Code projet inactif ou inexistant;FAC02_SRC_ECRITURESGL_290726-171628;CID;CAP - CID Charges à payer;B00000002C - DRW REGION ILE DE FRANCE;0001;00729036590;28/07/2026;408150;B00000002C0551;0.000000;454.220000;B00001325F;GL0007838G;0.000010;;;;EUR;28/07/2026;C.A.P. GL0007838G;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590771;8610851
OAE002;Code projet inactif ou inexistant;FAC02_SRC_ECRITURESGL_290726-171628;CID;CAP - CID Charges à payer;B00000002C - DRW REGION ILE DE FRANCE;0001;00729036590;28/07/2026;611000;B00000002C0551;378.520000;0.000000;B00001325F;GL0007838G;0.000010;S/T INTERNE REFACTURE;;YES;EUR;28/07/2026;C.A.P. GL0007838G;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590771;8610852
OAE002;Code projet inactif ou inexistant;FAC02_SRC_ECRITURESGL_290726-171628;CID;CAP - CID Charges à payer;B00000002C - DRW REGION ILE DE FRANCE;0001;00729036590;28/07/2026;445860;0;75.700000;0.000000;B00001325F;GL0007838G;0.000010;;;YES;EUR;28/07/2026;C.A.P. GL0007838G;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590771;8610853
OAE011;Impossible de déterminer la nature d'activité (segment8);FAC02_SRC_ECRITURESGL_290726-171628;CID;PAR - CID Produits à recevoir;B00000003D - DSW REGION NORD-OUEST;0001;00729002131;28/07/2026;487300;0;0.000000;165.590000;B00001495Z;GL0010969P;0.000010;;;;EUR;28/07/2026;P.C.A. GL0010969P;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590766;8610829
OAE036;date de fin de validit� du projet ant�rieure � la date de fin de la periode de contrepassation de la pi�ce;FAC02_SRC_ECRITURESGL_290726-171628;CID;PAR - CID Produits à recevoir;B00000003D - DSW REGION NORD-OUEST;0001;00729002131;28/07/2026;706001;0;165.590000;0.000000;B00001495Z;GL0010969P;0.000010;;VENTE P2;;EUR;28/07/2026;P.C.A. GL0010969P;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590766;8610830
OAE036;date de fin de validit� du projet ant�rieure � la date de fin de la periode de contrepassation de la pi�ce;FAC02_SRC_ECRITURESGL_290726-171628;CID;PAR - CID Produits à recevoir;B00000003D - DSW REGION NORD-OUEST;0001;00729006326;28/07/2026;706001;0;4079.640000;0.000000;B00001527K;GL0029009P;0.000010;;VENTE P2;YES;EUR;28/07/2026;P.A.R. GL0029009P;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590767;8610831
;;FAC02_SRC_ECRITURESGL_290726-171628;CID;PAR - CID Produits à recevoir;B00000003D - DSW REGION NORD-OUEST;0001;00729006326;28/07/2026;418100;0;0.000000;4895.570000;B00001527K;GL0029009P;0.000010;;;;EUR;28/07/2026;P.A.R. GL0029009P;29/07/2026;FAC02_PIVOT_GL_ECRITURESGL_20260729-171809;590767;8610832
