AP_VE_1-2;DK_0001_30003-0001DSWRBT-20260917-49061354;232098.93;AP;;ORACLE
ENTITYID;COUNTERPARTYID;CASHFLOWTYPE;PAYMENTMETHOD;PRIORITYID;VALUEDATE;TRANSACTIONDATE;ENTITYBANKACCOUNTNUMBER;CURRENCYCODE;AMOUNT;COUNTERPARTYNAME;COUNTERPARTYBANKACCOUNTNUMBER;CPTYSECONDARYACCOUNTNUMBER;COUNTERPARTYBANKACCOUNTCOUNTRYCODE;COUNTERPARTYBANKCODE;COUNTERPARTYBANKBRANCHID;COUNTERPARTYADDRESS1;COUNTERPARTYADDRESS2;COUNTERPARTYADDRESS3;COUNTERPARTYADDRESS4;COUNTERPARTYSTATE;COUNTERPARTYCITY;COUNTERPARTYCOUNTRYCODE;COUNTERPARTYMESSAGE;FINANCIALCHARGEALLOCATION;CUSTOMERREFERENCENUMBER;BANKINSTRUCTIONS;DESCRIPTION/REFERENCE;TRANSACTIONTYPECODE;INTERMEDIARYBANKSWIFTCODE;INTERMEDIARYBANKNAME;INTERMEDIARYBANKADRESSE1;INTERMEDIARYBANKADRESSE2;INTERMEDIARYBANKADRESSE3;INTERMEDIARYBANKADRESSE4;SECONDINTERMEDIARYBANKSWIFTCODE;SECONDINTERMEDIARYBANKNAME;SECONDINTERMEDIARYBANKADRESSE1;SECONDINTERMEDIARYBANKADRESSE2;SECONDINTERMEDIARYBANKADRESSE3;SECONDINTERMEDIARYBANKADRESSE4;CHEQUENUMBER;COMMENT;RESERVE9;RESERVE8;RESERVE7;RESERVE6;RESERVE5;RESERVE4;RESERVE3;RESERVE2;RESERVE1
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;26132.70;COMMUNE DE LAMBRES LEZ DOUAI;3000100345J5940000000;FR243000100345J594000000023;FR;BDFEFRPPCCT;;COMMUNE DE LAMBRES LEZ DOUAI; ;1 RUE JULES FERRY;;59552;LAMBRES-LEZ-DOUAI;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00402499 - Site REMB SOLDE AV 0001 S 2607TYP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;21989.46;COLLEGE GEORGES BRASSENS;100717600000001001170;FR7610071760000000100117097;FR;TRPUFRP1XXX;;COLLEGE GEORGES BRASSENS;; ROUTE DE COUPEAUVILLE;;76133;EPOUVILLE;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 01431391 - Site rbt avoir 0001S2607XWD7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;14526.61;COMMUNE DE FORGES-LES-EAUX;3000100707F7600000000;FR503000100707F760000000048;FR;BDFEFRPPCCT;;COMMUNE DE FORGES-LES-EAUX;;37 PL BREVIERE;;76440;FORGES-LES-EAUX;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00007572 - Site rbt avoir 0001S607XSH0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;11071.28;S A GOURNAISIENNE D'HLM;40031000010000120219X;FR6740031000010000120219X02;FR;CDCGFRPPXXX;;S A GOURNAISIENNE D'HLM;;13 BD MONTMORENCY;;76220;GOURNAY-EN-BRAY;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00003200 - Site RBT AVOIR 0001S2607WRU2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;28778.64;COMMUNE DE LE HOULME;3000100707E7670000000;FR503000100707E767000000054;FR;BDFEFRPPCCT;;COMMUNE DE LE HOULME;MAIRIE;   HOTEL DE VILLE;PLACE DES CANADIENS;76770;LE HOULME;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00033083 - Site RBT BC20100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;503.15;COMMUNE D'ESTAIRES;3000100468E5990000000;FR483000100468E599000000039;FR;BDFEFRPPCCT;;COMMUNE D'ESTAIRES; ; PLACE DE L'HOTEL DE VILLE;;59940;ESTAIRES;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00050392 - Site REMBOURSEMENT AVOIR 0001S260;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;17245.91;COMMUNE DE CRESPIN;3000100855M5900000000;FR793000100855M590000000022;FR;BDFEFRPPCCT;;COMMUNE DE CRESPIN;MAIRIE;293 RUE DES DEPORTES;RUE DES DEPORTES;59154;CRESPIN;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00004478 - Site Remboursement avoir 0001S260;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;10319.19;COMMUNE D HALLUIN;3000100703C5950000000;FR803000100703C595000000048;FR;BDFEFRPPCCT;;COMMUNE D HALLUIN;;24 RUE MARTHE NOLLET;;59250;HALLUIN;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 01390609 - Site REMBOURSEMENT AVOIR 0001S260;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;29259.68;COLLEGE PAUL BERT;100717600000001001106;FR7610071760000000100110695;FR;TRPUFRP1XXX;;COLLEGE PAUL BERT;;2 RUE PAUL BERT;;76400;FECAMP;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 01444091 - Site remboursement avoir  0001S26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/22/2026;09/21/2026;FR7630003011120002001135658;EUR;422.81;COMMUNE DE SAINT SEBASTIEN DE MORSE;3000100376C2700000000;FR593000100376C270000000095;FR;BDFEFRPPCCT;;COMMUNE DE SAINT SEBASTIEN DE MORSE;MAIRIE; PLACE PIERRE MENDES FRANCE;;27180;SAINT-SEBASTIEN-DE-MORSENT;FR;Lot 20260917-0335DSWRBTCLIENT0001 - 21/09/2026 - Client 00010926 - Site REMB AVOIR 0001S2608ZPE9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
