guid;fichier;guid_original;fichier_original;nb_virements;montant_cts
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033758415.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;702;14195036
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033858416.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039588280.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;287366
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033938417.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039588281.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;6;128970
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033968418.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039618282.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;34485
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033988419.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039628283.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;54;671109
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315033998420.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039738284.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;51243
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034008421.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039768285.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;91541
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034018422.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039778286.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;6;111137
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034028423.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039788287.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;130000
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034048424.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039798288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;65;1906708
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034058425.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039798289.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;23926
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034068426.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039808290.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;4;43255
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034078427.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039818291.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;12110
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034088428.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039828292.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;26665
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315034098429.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039828293.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;103658
