guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01_entete;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
20ac284a3af540339b53a17811250a67;DK_FIN01_30003-0139DRWGPX-20260919-49083467_20260919-051944.txt;;1;1;;;111098;111098;111098;1;OK;OK
20ac284a3af540339b53a17811250a67;DK_FIN01_30004-0001DRWGPX-20260919-49083467_20260919-051944.txt;;2;2;;;3487951;3487951;3487951;1;OK;OK
20ac284a3af540339b53a17811250a67;DK_FIN01_30004-0001DSWGPX-20260919-49083467_20260919-051944.txt;;2;2;;;4958833;4958833;4958833;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DCWEXP-20260919-49078121_20260919-024858.txt;;17;17;;;5886253;5886253;5886253;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DEWEXP-20260919-49078121_20260919-024858.txt;;20;20;;;15645252;15645252;15645252;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DLSEXP-20260919-49078121_20260919-024858.txt;;9;9;;;1225222;1225222;1225222;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DMSEXP-20260919-49078121_20260919-024858.txt;;18;18;;;4185091;4185091;4185091;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DNAEXP-20260919-49078121_20260919-024858.txt;;12;12;;;2077866;2077866;2077866;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DOSEXP-20260919-49078121_20260919-024858.txt;;8;8;;;3026381;3026381;3026381;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DRWEXP-20260919-49078121_20260919-024858.txt;;35;35;;;58414231;58414231;58414231;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0001DSWEXP-20260919-49078121_20260919-024858.txt;;31;31;;;8749803;8749803;8749803;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0139DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;12524;12524;12524;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0169DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;343919;343919;343919;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0245DLSEXP-20260919-49078121_20260919-024858.txt;;2;2;;;1509953;1509953;1509953;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0320DSWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;41400;41400;41400;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0348DCWEXP-20260919-49078121_20260919-024858.txt;;3;3;;;877077;877077;877077;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0360DCWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;34705;34705;34705;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0364DSWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;649512;649512;649512;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0367DEWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;57289;57289;57289;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0367DOSEXP-20260919-49078121_20260919-024858.txt;;5;5;;;14935842;14935842;14935842;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0367DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;38160;38160;38160;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0380DNAEXP-20260919-49078121_20260919-024858.txt;;1;1;;;155506;155506;155506;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0441DMSEXP-20260919-49078121_20260919-024858.txt;;8;8;;;1536790;1536790;1536790;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0459DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;16868;16868;16868;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0470DNAEXP-20260919-49078121_20260919-024858.txt;;1;1;;;38762;38762;38762;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0490DOSEXP-20260919-49078121_20260919-024858.txt;;2;2;;;2645969;2645969;2645969;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0490DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;702000;702000;702000;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0514DNAEXP-20260919-49078121_20260919-024858.txt;;3;3;;;4342827;4342827;4342827;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0523DSWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;9357;9357;9357;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0531DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;10257385;10257385;10257385;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0551DRWEXP-20260919-49078121_20260919-024858.txt;;2;2;;;1734745;1734745;1734745;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0560DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;50728;50728;50728;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0684DEWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;4080;4080;4080;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0691DNAEXP-20260919-49078121_20260919-024858.txt;;1;1;;;645112;645112;645112;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0739DOSEXP-20260919-49078121_20260919-024858.txt;;2;2;;;3870643;3870643;3870643;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0804DCWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;101341;101341;101341;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30003-0804DOSEXP-20260919-49078121_20260919-024858.txt;;2;2;;;429281;429281;429281;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0119DOSEXP-20260919-49078121_20260919-024858.txt;;10;10;;;3369542;3369542;3369542;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0167DRWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;18612;18612;18612;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0358DLSEXP-20260919-49078121_20260919-024858.txt;;1;1;;;27679;27679;27679;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0363DMSEXP-20260919-49078121_20260919-024858.txt;;1;1;;;3136006;3136006;3136006;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0373DSWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;427200;427200;427200;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0388DCWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;22668000;22668000;22668000;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0415DEWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;7456566;7456566;7456566;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0630DCWEXP-20260919-49078121_20260919-024858.txt;;2;2;;;29784086;29784086;29784086;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0695DMSEXP-20260919-49078121_20260919-024858.txt;;1;1;;;12814;12814;12814;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0790DNAEXP-20260919-49078121_20260919-024858.txt;;1;1;;;93420;93420;93420;1;OK;OK
ad23324a0d19453a970a64c54d9a78f6;DK_FIN01_30004-0800DEWEXP-20260919-49078121_20260919-024858.txt;;1;1;;;211200;211200;211200;1;OK;OK
