guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;815;815;815;815;16519265;16519265;16519265;16519265;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691059184.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;5;5;5;5;140498;140498;140498;140498;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691069185.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;5;5;5;5;139822;139822;139822;139822;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691089186.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;33162;33162;33162;33162;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691099187.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;37;37;37;37;525295;525295;525295;525295;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691109188.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;54200;54200;54200;54200;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691119189.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;7227;7227;7227;7227;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691129190.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;120200;120200;120200;120200;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691149191.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;96;96;96;96;2762270;2762270;2762270;2762270;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691159192.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;19500;19500;19500;19500;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691169193.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;9;9;9;9;173676;173676;173676;173676;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691179194.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;2190;2190;2190;2190;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691189195.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;220818;220818;220818;220818;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691759196.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;8;8;8;8;171085;171085;171085;171085;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406049274.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;1268;1268;1268;1268;947797749;947797749;947797749;947797749;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406069275.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;1247880;1247880;1247880;1247880;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406089276.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;60000;60000;60000;60000;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406099277.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;4564445;4564445;4564445;4564445;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406109278.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;9570;9570;9570;9570;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406119279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;1185150;1185150;1185150;1185150;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406139280.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;122376;122376;122376;122376;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406149281.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;22560;22560;22560;22560;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406159282.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;5706848;5706848;5706848;5706848;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406169283.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;6412200;6412200;6412200;6412200;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406179284.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;6;6;6;6;2191330;2191330;2191330;2191330;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406199285.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;39000;39000;39000;39000;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406209286.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;35;35;35;35;84392701;84392701;84392701;84392701;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406879287.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;5;5;5;5;1344023;1344023;1344023;1344023;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406889288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;5;5;5;5;1009601;1009601;1009601;1009601;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406899289.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;3595974;3595974;3595974;3595974;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406919290.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;26;26;26;26;12427681;12427681;12427681;12427681;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406929291.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;26387;26387;26387;26387;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406939292.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;755880;755880;755880;755880;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406949293.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;2705574;2705574;2705574;2705574;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406989294.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;698700;698700;698700;698700;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406999295.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;14;14;14;14;53197692;53197692;53197692;53197692;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407019296.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;14;14;14;14;12551698;12551698;12551698;12551698;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407029297.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;199680;199680;199680;199680;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407039298.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;67638;67638;67638;67638;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407049299.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;117516;117516;117516;117516;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407069300.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;1593140;1593140;1593140;1593140;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407079301.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;331121;331121;331121;331121;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407089302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;7;7;7;7;8786171;8786171;8786171;8786171;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407879303.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;345480;345480;345480;345480;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407889304.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;23520;23520;23520;23520;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407909305.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;5;5;5;5;1529132;1529132;1529132;1529132;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407919306.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;206460;206460;206460;206460;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407929307.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;47;47;47;47;14180643;14180643;14180643;14180643;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407939308.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;14;14;14;14;23976551;23976551;23976551;23976551;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407959309.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;187200;187200;187200;187200;OK;OK
422e22ba8ad641eb8f761635ded5c171;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328407969310.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;1796281;1796281;1796281;1796281;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264249104.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;9;9;9;9;3878795;3878795;3878795;3878795;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264279105.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;14;14;14;14;20377964;20377964;20377964;20377964;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264289106.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;60360;60360;60360;60360;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264299107.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;7626326;7626326;7626326;7626326;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264319108.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;2377700;2377700;2377700;2377700;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264339109.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;91051;91051;91051;91051;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264349110.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;10;10;10;10;19346467;19346467;19346467;19346467;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264369111.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;31746;31746;31746;31746;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264379112.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;12;12;12;12;3104909;3104909;3104909;3104909;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330264389113.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;8;8;8;8;6642684;6642684;6642684;6642684;OK;OK
e7fc2c2f36f74f11a20f41c8749cf6b5;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900330265109114.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;212784;212784;212784;212784;OK;OK
