guid;categorie;fichier;statut;detail
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0001DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0034DLSEXP-20260923-49108276_20260923-013050.txt;OK;
