AP_VE_1-2;DK_0001_30003-0001DSWRBT-20260827-48871489;285677.93;AP;;ORACLE
ENTITYID;COUNTERPARTYID;CASHFLOWTYPE;PAYMENTMETHOD;PRIORITYID;VALUEDATE;TRANSACTIONDATE;ENTITYBANKACCOUNTNUMBER;CURRENCYCODE;AMOUNT;COUNTERPARTYNAME;COUNTERPARTYBANKACCOUNTNUMBER;CPTYSECONDARYACCOUNTNUMBER;COUNTERPARTYBANKACCOUNTCOUNTRYCODE;COUNTERPARTYBANKCODE;COUNTERPARTYBANKBRANCHID;COUNTERPARTYADDRESS1;COUNTERPARTYADDRESS2;COUNTERPARTYADDRESS3;COUNTERPARTYADDRESS4;COUNTERPARTYSTATE;COUNTERPARTYCITY;COUNTERPARTYCOUNTRYCODE;COUNTERPARTYMESSAGE;FINANCIALCHARGEALLOCATION;CUSTOMERREFERENCENUMBER;BANKINSTRUCTIONS;DESCRIPTION/REFERENCE;TRANSACTIONTYPECODE;INTERMEDIARYBANKSWIFTCODE;INTERMEDIARYBANKNAME;INTERMEDIARYBANKADRESSE1;INTERMEDIARYBANKADRESSE2;INTERMEDIARYBANKADRESSE3;INTERMEDIARYBANKADRESSE4;SECONDINTERMEDIARYBANKSWIFTCODE;SECONDINTERMEDIARYBANKNAME;SECONDINTERMEDIARYBANKADRESSE1;SECONDINTERMEDIARYBANKADRESSE2;SECONDINTERMEDIARYBANKADRESSE3;SECONDINTERMEDIARYBANKADRESSE4;CHEQUENUMBER;COMMENT;RESERVE9;RESERVE8;RESERVE7;RESERVE6;RESERVE5;RESERVE4;RESERVE3;RESERVE2;RESERVE1
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;235.80;COMMUNE D HOUPLINES;3000100149D5990000000;FR643000100149D599000000024;FR;BDFEFRPPCCT;;COMMUNE D HOUPLINES; ; PLACE DU GENERAL DE GAULLE;PLACE DU GENERAL DE GAULLE;59116;HOUPLINES;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00002616 - Site REMBOURSEMENT AVOIR 0001S260;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;37232.61;COMMUNE DE WASQUEHAL;3000100703C5950000000;FR803000100703C595000000048;FR;BDFEFRPPCCT;;COMMUNE DE WASQUEHAL; ;1 RUE MICHELET;HOTEL DE VILLE;59442;WASQUEHAL CEDEX;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00030340 - Site REMBOURSEMENT AVOIR AATEF3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;11563.52;COMMUNE D ECAILLON;3000100345J5960000000;FR243000100345J596000000052;FR;BDFEFRPPCCT;;COMMUNE D ECAILLON;MAIRIE; RUE MARAICHONS;ECAILLON;59176;ECAILLON;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00024759 - Site REMB EXER 2026 BORD 4 MANDAT;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;7058.16;SCI RICHEBE INKERMAN;102070042621212878759;FR7610207004262121287875969;FR;CCBPFRPPMTG;;SCI RICHEBE INKERMAN;;   141, BOULEVARD LIBERTE;;59800;LILLE;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00081226 - Site RBST DALKIA 141 BLD DE LA LI;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;1070.60;COMMUNE DE BAYEUX;3000100244C460000000;FR793000100244C146000000083;FR;BDFEFRPPCCT;;COMMUNE DE BAYEUX;MAIRIE;12 BIS RUE LAITIERE;BP 21215;14402;BAYEUX;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00073351 - Site ACTE 62510528731;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;32781.98;COMMUNE DE MONTVILLE;3000100707E7690000000;FR503000100707E769000000083;FR;BDFEFRPPCCT;;COMMUNE DE MONTVILLE; ;   MAIRIE;PLACE DU GENERAL LECLERC;76710;MONTVILLE;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00038290 - Site titre 15000 2026 2528;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;346.82;CENTRE COMMUNAL D ACTION SOCIALE;3000100703C5950000000;FR803000100703C595000000048;FR;BDFEFRPPCCT;;CENTRE COMMUNAL D ACTION SOCIALE;;26 RUE DE LA BIENFAISANCE;BP 60567;59200;TOURCOING;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00010460 - Site REMBOURSEMENT AVOIR YFSEP1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;420.68;RP-GLOBAL FRANCE;167060509253927464230;FR7616706050925392746423091;FR;AGRIFRPP867;;RP-GLOBAL FRANCE;;213 BD DE TURIN;LILLE EURALILLE;59777;LILLE;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 01385033 - Site remb. avoir n 0001S2602BE96;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;62159.81;COMMUNE DE DEVILLE LES ROUEN;3000100707E7670000000;FR503000100707E767000000054;FR;BDFEFRPPCCT;;COMMUNE DE DEVILLE LES ROUEN;MAIRIE;   1, PLACE FRANCOIS MITTERAND;;76250;DEVILLE LES ROUEN;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00051843 - Site 06300 ORDRE DE REVERSEMENT;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/01/2026;08/31/2026;FR7630003011120002001135658;EUR;318.26;COMMUNE DE CROIX;3000100703C5950000000;FR803000100703C595000000048;FR;BDFEFRPPCCT;;COMMUNE DE CROIX;MAIRIE;187 RUE JEAN JAURES;;59963;CROIX CEDEX;FR;Lot 20260827-0240DSWRBTCLIENT0001 - 31/08/2026 - Client 00001865 - Site remboursement avoir n 0001S2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
