Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;S00054500-FRA13016;GK0028795X;VFF;Avoir FATEC FTG2606ARE00009 062026;0;CREDIT;-8815,29;EUR;23/06/2026;FTG2606ARE00009;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;S00054500-FRA13016;GK0231890L;VFF;Avoir FATEC FTG2606ARE00009 062026;2;CREDIT;-397,00;EUR;23/06/2026;FTG2606ARE00009;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;S00054500-FRA13016;GK0625191V;VFF;Avoir FATEC FTG2606ARE00009 062026;1;CREDIT;-4710,53;EUR;23/06/2026;FTG2606ARE00009;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;S00054500-FRA13016;GK1332961D;VFF;Avoir FATEC FTG2606ARE00009 062026;4;CREDIT;-834,00;EUR;23/06/2026;FTG2606ARE00009;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;S00054500-FRA13016;GK1331613X;VFF;Avoir FATEC FTG2606ARE00009 062026;6;CREDIT;-477,00;EUR;23/06/2026;FTG2606ARE00009;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;S00054500-FRA13016;GK0001374L;VFF;Avoir FATEC FTG2606ARE00009 062026;9;CREDIT;-1066,54;EUR;23/06/2026;FTG2606ARE00009;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;S00054500-FRA13016;GK0028795X;VFF;Facture FATEC FTG2606FHO01130 062026;0;STANDARD;1468,80;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0439446W;VFF;Facture FATEC FTG2606FHO01130 062026;1;STANDARD;34,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0010161X;VFF;Facture FATEC FTG2606FHO01130 062026;1;STANDARD;34,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0001060E;VFF;Facture FATEC FTG2606FHO01130 062026;2;STANDARD;68,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0642947X;VFF;Facture FATEC FTG2606FHO01130 062026;3;STANDARD;102,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0643271P;VFF;Facture FATEC FTG2606FHO01130 062026;4;STANDARD;136,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0001507M;VFF;Facture FATEC FTG2606FHO01130 062026;2;STANDARD;68,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0001232A;VFF;Facture FATEC FTG2606FHO01130 062026;2;STANDARD;68,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0009769B;VFF;Facture FATEC FTG2606FHO01130 062026;4;STANDARD;136,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0029048J;VFF;Facture FATEC FTG2606FHO01130 062026;3;STANDARD;102,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0001573M;VFF;Facture FATEC FTG2606FHO01130 062026;2;STANDARD;68,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
25/08/2026;0001;622840;S00054500-FRA13016;GK0001574N;VFF;Facture FATEC FTG2606FHO01130 062026;2;STANDARD;68,00;EUR;24/06/2026;FTG2606FHO01130;20,00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
