Sté CAP,Région CA,Sté Cde,Cde,Ligne Cde,Projet,Num tâche,Date clô,Date fer,Type dépense,Compte imputation,Fournisseur,Qté Cde.,Qté reçue,Qté Fact. Rapprochée,Prix U.,Montant Prov.,Motif rejet,Description article
0001,DRW,0001,BC1270523,1,FA0018848T,GX1351510G,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001309M.A00008183Z.FA0018848T.0.0.0.0,CALO SERVICES,1,1,0,1800,1800,Le projet / tÃ¢che FA0018848T/GX1351510G n'est pas valide Ã  la date du 31-MAR-26,CALOSERVICES ELEMENTAIRE MAURICE DENIS TRX SUIVNAT DEVIS 7103
0001,DRW,0001,BC1270824,1,FA0018848T,GX1351494N,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001309M.A00008183Z.FA0018848T.0.0.0.0,CALO SERVICES,1,1,0,3000,3000,Le projet / tÃ¢che FA0018848T/GX1351494N n'est pas valide Ã  la date du 31-MAR-26,CALOSERVICES TABANELLI TRX SUIVANT  DEVIS 7105
0001,DRW,0001,BC1270853,1,FA0018848T,GX1351584R,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001309M.A00008183Z.FA0018848T.0.0.0.0,CALO SERVICES,1,1,0,1700,1700,Le projet / tÃ¢che FA0018848T/GX1351584R n'est pas valide Ã  la date du 31-MAR-26,CALOSERVICES TABANELLI TRX SUIVANT  DEVIS 7100
0001,DRW,0001,BC1271344,1,FA0018848T,GX1351520T,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001309M.A00008183Z.FA0018848T.0.0.0.0,CALO SERVICES,1,1,0,1250,1250,Le projet / tÃ¢che FA0018848T/GX1351520T n'est pas valide Ã  la date du 31-MAR-26,CALOSERVICES ANCIEN HDV TRX SUIVANT  DEVIS 7123
0001,DRW,0001,4630983,1,FA0007593D,GX0286795D,31/03/20,30/09/20,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001309M.A00001949P.FA0007593D.0.0.0.0,NAZZARO FRANCK OLD,1,1,0,"1231,25","1231,25",Le projet / tÃ¢che FA0007593D/GX0286795D n'est pas valide Ã  la date du 31-MAR-26,Réparation plancher chauffant hors rebouchage - 32 boulevard de Stalingrad 8eme étage à Choisy le roi
0001,DRW,0001,4905502,1,FA0018827V,GT0773466N,23/02/22,23/08/22,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64112.0.B00001305H.A00008167F.FA0018827V.0.0.0.0,SAKKARAH,"29974,8","29974,8","23599,2",1,"6375,6",Le projet / tÃ¢che FA0018827V/GT0773466N n'est pas valide Ã  la date du 31-MAR-26,BAT CX-MB-SAKKARAH-21 FILTRES MAGNETIQUES AVEC POMPE ET COFFRET ALARME COLMATAGE-DEVIS D21020120
0001,DRW,0001,BC793147,1,FA0007982W,GX1153141M,26/01/24,26/07/24,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001342A.A00002338G.FA0007982W.0.0.0.0,ASSA ABLOY ENTRANCE SYSTEMS FRANCE,1,1,0,"1367,28","1367,28",Le projet / tÃ¢che FA0007982W/GX1153141M n'est pas valide Ã  la date du 31-MAR-26,InterventIon du 5 avrIl 2023
0001,DRW,0001,BC470048,1,FA0020140L,GT1017710N,31/07/23,31/01/24,SOUS TRAITANTS,0001.DRW.611000.64111.0.B00001305H.A00013485Z.FA0020140L.0.0.0.0,GEOFLUID,1,1,",15830721",12760,10740,Le projet / tÃ¢che FA0020140L/GT1017710N n'est pas valide Ã  la date du 31-MAR-26,COLOMBIER-ALVES-GEOFLUIDE-TRAVAUX ABANDON DES PUITS F1 ET F2 ELABORATION DES DOSSIERS ADMINISTRATIFS-DEVIS DVE22098
0001,DRW,0001,BC1257988,1,FA0085297D,GX1350801B,23/09/24,23/09/25,LOCATION MATERIEL OUTILL,0001.DRW.613500.65111.0.B00001338W.A00008657M.FA0085297D.0.0.0.0,TIBBLOC,1,1,0,"4187,94","4187,94",Le projet / tÃ¢che FA0085297D/GX1350801B n'est pas valide Ã  la date du 31-MAR-26,loc clIm rothschIld
0001,DRW,0001,BC1257849,1,FA0036507K,GX1350922N,03/06/24,03/06/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00003100Y.A00008507S.FA0036507K.0.0.0.0,FINSECUR,1,1,0,1850,1850,Le projet / tÃ¢che FA0036507K/GX1350922N n'est pas valide Ã  la date du 31-MAR-26,GX1350922N FINSECUR DPT240697 STRATO
