guid;categorie;fichier;statut;detail
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DCWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DLSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DLSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DLSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DMSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DOSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0001DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0001DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0001DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
