guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
0b162b5edf254caf9ecf51d56a525763;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985504667.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;12613;12613;12613;12613;OK;OK
0b162b5edf254caf9ecf51d56a525763;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985524668.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;65194;65194;65194;65194;OK;OK
0b162b5edf254caf9ecf51d56a525763;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985534669.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;3;3;3;3;7950180;7950180;7950180;7950180;OK;OK
0b162b5edf254caf9ecf51d56a525763;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985544670.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;456960;456960;456960;456960;OK;OK
0bc72410b32e401ca9b5897d8ff910b6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854527781174773.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;141;141;141;141;59738516;59738516;59738516;59738516;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;5;81;81;81;81;88162948;88162948;88162948;88162948;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161314630.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;58440;58440;58440;58440;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161324631.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;61000;61000;61000;61000;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161334632.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;8;8;8;8;6077754;6077754;6077754;6077754;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161344633.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;1010340;1010340;1010340;1010340;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161344634.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;1159016;1159016;1159016;1159016;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161354635.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;10;10;10;10;10201032;10201032;10201032;10201032;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161354636.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;93557;93557;93557;93557;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161364637.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;176131;176131;176131;176131;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161364638.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;5;5;5;5;2123019;2123019;2123019;2123019;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161374639.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;31304;31304;31304;31304;OK;OK
31a208ebd9cb4712910957b023c4eab0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161384640.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;12614;12614;12614;12614;OK;OK
