"REQ_ID","PROGRAMME","CONCURRENT_PROGRAM_NAME","DEBUT","DUREE_MIN","PARAMETRES"
48018074,"DKA: Pre Import des clients","DKA_ICLIENTIFS_4","26/05 17:00:17",890,7,""
48018081,"DKA : Import des clients : Pre Open Interface","DKA_ICLIENTIFS_1","26/05 17:00:27",890,5,""
48018083,"DKA: Import des clients OI","DKA_ICLIENTIFS_3","26/05 17:00:45",890,2,""
48018084,"Progr. trait. simultanés maître interface clients","RACUSTMA","26/05 17:00:48",890,1,"N, "
48018207,"DKA : Import des clients : Post Open Interface","DKA_ICLIENTIFS_2","26/05 17:27:29",863,5,""
48018262,"DKA : campagne de lettrage à zéro","DKA_CAMPAGNE_LETTRAGE_ZERO","26/05 18:15:17",815,7,""
48018297,"DKA : Interface Employes vers Oracle","DKA_IHREMP_INTERFACE","26/05 18:47:02",783,9,"Y"
48018363,"DKA : Export journalier des fournisseurs","DKA_APFRSEXP_JOUR","26/05 19:01:17",769,7,""
48018360,"DKA : Mise à jour des rattachements de sites fournisseurs sur commande ouverte globale","DKA_SPODUPSITECOG","26/05 19:01:17",769,7,""
48018367,"DKA : Comptabilisation AR","DKA_SXLAACCPBAR","26/05 19:01:18",769,6,""
48018364,"DKA : Export du référentiel employé vers NOTILUS","DKA_IAPEMPLNOT","26/05 19:01:18",769,6,""
48018368,"DKA : Generer des comptes","DKA_FAGDA","26/05 19:01:18",769,6,""
48018840,"Programme de comptabilisation","XLAACCUP","26/05 19:01:29",769,5,"222, 2025, 2026/05/31, F, N, 2113041, 48018422, 48"
48018841,"Programme de comptabilisation","XLAACCUP","26/05 19:01:29",769,5,"222, 2022, 2026/05/31, F, N, 2113040, 48018381, 48"
48018846,"Programme de comptabilisation","XLAACCUP","26/05 19:01:35",769,4,"222, 2061, 2026/05/31, F, N, 2113042, 48018462, 48"
48018847,"Programme de comptabilisation","XLAACCUP","26/05 19:01:35",769,4,"222, 2092, 2026/05/31, F, N, 2113056, 48018546, 48"
48018849,"Programme de comptabilisation","XLAACCUP","26/05 19:01:38",769,3,"222, 2098, 2026/05/31, F, N, 2113043, 48018572, 48"
48018852,"DKA : Calculer les plus- et moins-values","DKA_FARET","26/05 19:01:41",769,3,""
48018851,"Programme de comptabilisation","XLAACCUP","26/05 19:01:41",769,3,"222, 2126, 2026/05/31, F, N, 2113057, 48018718, 48"
48019083,"Programme de comptabilisation","XLAACCUP","26/05 19:01:42",769,2,"222, 2116, 2026/05/31, F, N, 2113059, 48018707, 48"
48018848,"EasyLink","GLLEZL","26/05 19:01:43",769,2,"1159664, -602, N, , , N, N, Y"
48019191,"Programme de comptabilisation","XLAACCUP","26/05 19:01:43",769,2,"222, 2136, 2026/05/31, F, N, 2113061, 48018720, 48"
48019192,"Programme de comptabilisation","XLAACCUP","26/05 19:01:43",769,2,"222, 2140, 2026/05/31, F, N, 2113062, 48018722, 48"
48019196,"Programme de comptabilisation","XLAACCUP","26/05 19:01:45",769,2,"222, 2148, 2026/05/31, F, N, 2113050, 48018724, 48"
48019194,"Programme de comptabilisation","XLAACCUP","26/05 19:01:45",769,2,"222, 2144, 2026/05/31, F, N, 2113048, 48018723, 48"
48019193,"Programme de comptabilisation","XLAACCUP","26/05 19:01:45",769,2,"222, 2138, 2026/05/31, F, N, 2113047, 48018721, 48"
